,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Titliaan,"Afsana Khan",1569057,https://open.spotify.com/track/1980E4Grgu5xAhNbFZ1mb1
2,Mirchi,DIVINE,1459275,https://open.spotify.com/track/7zKzD5wM18bQSiJTAxTpwH
3,Waalian,Harnoor,1359940,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh
4,"Naach Meri Rani","Guru Randhawa",1229542,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
5,positions,"Ariana Grande",1227342,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
6,Shayad,Pritam,1214348,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
7,"Life Goes On",BTS,1198167,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
8,Dynamite,BTS,1173870,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
9,"Aabaad Barbaad (From ""Ludo"")",Pritam,1061076,https://open.spotify.com/track/0hFUtSsV2itYEUTZGj6w5H
10,"Mood (feat. iann dior)",24kGoldn,1006021,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
11,Liggi,Ritviz,997745,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
12,"BurjKhalifa (From ""Laxmii"")",Shashi,908452,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
13,"Care Ni Karda (From ""Chhalaang"")","Sweetaj Brar",880182,https://open.spotify.com/track/6e5DH8YHXdM40ROnD76hZd
14,"Teri Aankhon Mein","Darshan Raval",866898,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
15,"Temporary Pyar","Adaab Kharound",861712,https://open.spotify.com/track/461JKAn7H6Sbx0ql9IvRUG
16,"Taaron Ke Shehar","Neha Kakkar",831343,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
17,Khairiyat,"Arijit Singh",816041,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
