,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1495069,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,"Ice Cream (with Selena Gomez)",BLACKPINK,921649,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
3,Shayad,Pritam,891661,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
4,Chidiya,Vilen,775851,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
5,Khairiyat,"Arijit Singh",770143,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
6,Liggi,Ritviz,738464,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
7,G.O.A.T.,"Diljit Dosanjh",715307,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
8,"Savage Love (Laxed - Siren Beat)","Jawsh 685",701424,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
9,"Play Date","Melanie Martinez",660745,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
10,"Main Tumhara","A.R. Rahman",626637,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
11,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",625540,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
12,Makhna,"Tanishk Bagchi",623284,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
13,Game,"Shooter Kahlon",608881,https://open.spotify.com/track/12j9XLGbDrJw7S4flHVIMj
14,"WAP (feat. Megan Thee Stallion)","Cardi B",608703,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
15,"ily (i love you baby) (feat. Emilee)","Surf Mesa",605451,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
16,"Blinding Lights","The Weeknd",569482,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",555532,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
18,"Ghungroo (From ""War"")","Arijit Singh",551996,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
19,Falling,"Trevor Daniel",530452,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
20,Feelings,"Sumit Goswami",524520,https://open.spotify.com/track/0LRNOwAcNjPMxTYQahFo3S
21,Memories,"Maroon 5",521860,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
22,"Mood (feat. iann dior)",24kGoldn,507799,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
23,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",498147,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
24,Señorita,"Shawn Mendes",491302,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
25,"Genda Phool (feat. Payal Dev)",Badshah,475235,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
26,"Watermelon Sugar","Harry Styles",473838,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
27,Clash,"Diljit Dosanjh",472894,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo
28,"death bed (coffee for your head)",Powfu,462377,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
