,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,G.O.A.T.,"Diljit Dosanjh",885295,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
2,Shayad,Pritam,827364,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
3,"Main Tumhara","A.R. Rahman",813885,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",738525,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,"Kya Baat Aa","Karan Aujla",732667,https://open.spotify.com/track/5XBUtdLhHkWMacY3I5kz8X
6,Khairiyat,"Arijit Singh",714573,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
7,Chidiya,Vilen,707781,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
8,Clash,"Diljit Dosanjh",684781,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo
9,"Play Date","Melanie Martinez",662663,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
10,Liggi,Ritviz,639302,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
11,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",605183,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
12,"ily (i love you baby) (feat. Emilee)","Surf Mesa",603004,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
13,Makhna,"Tanishk Bagchi",579892,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
14,"Ghungroo (From ""War"")","Arijit Singh",545373,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
15,Memories,"Maroon 5",520735,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
16,"Blinding Lights","The Weeknd",518375,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
17,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,515001,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
18,Falling,"Trevor Daniel",507670,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
19,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",503470,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
20,"death bed (coffee for your head)",Powfu,502423,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
21,"Roses - Imanbek Remix","SAINt JHN",480672,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
22,"Dil Bechara","A.R. Rahman",468524,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO
23,Señorita,"Shawn Mendes",467206,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
24,"Genda Phool (feat. Payal Dev)",Badshah,466372,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
25,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",463148,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
26,"Khulke Jeene Ka","A.R. Rahman",450899,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf
27,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",450714,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
28,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",448882,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
29,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",439000,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
30,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",426040,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
31,"TKN (feat. Travis Scott)",ROSALÍA,423497,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
