,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Naach Meri Rani","Guru Randhawa",1398649,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
2,Mirchi,DIVINE,1180980,https://open.spotify.com/track/5KkCsYIgMK5H7Ih31Dnd2Q
3,"BurjKhalifa (From ""Laxmii"")",Shashi,1174987,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
4,"Mood (feat. iann dior)",24kGoldn,1167713,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
5,Dynamite,BTS,1106614,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
6,Waalian,Harnoor,1019247,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh
7,Shayad,Pritam,971920,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
8,Liggi,Ritviz,927830,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
9,positions,"Ariana Grande",892674,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
10,"Taaron Ke Shehar","Neha Kakkar",868733,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
11,"Teri Aankhon Mein","Darshan Raval",840994,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
12,Chithiyaan,"Karan Aujla",786600,https://open.spotify.com/track/7HRvfjNicVkQnohrpOvjjL
13,"No Competition","Jass Manak",774055,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
14,"Therefore I Am","Billie Eilish",749306,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
15,Adhiya,"Karan Aujla",749283,https://open.spotify.com/track/5LEjxlKCcYH8irGpRtjbj0
16,"Ghungroo (From ""War"")","Arijit Singh",705119,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
17,Khairiyat,"Arijit Singh",704934,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
18,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",690701,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
19,"Aabaad Barbaad (From ""Ludo"")",Pritam,670850,https://open.spotify.com/track/0hFUtSsV2itYEUTZGj6w5H
20,"Play Date","Melanie Martinez",667357,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
21,"Sawan Mein Lag Gayi Aag","Mika Singh",647497,https://open.spotify.com/track/6oloWgrErtc8dG2WiV55gn
22,Makhna,"Tanishk Bagchi",644844,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
23,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",636444,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
24,"lovely (with Khalid)","Billie Eilish",620248,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
25,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,602582,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
26,"Scam 1992 Theme Music",Achint,591568,https://open.spotify.com/track/3A04b0nJb2nAzGUw2rqDsI
27,"Genda Phool (feat. Payal Dev)",Badshah,590405,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
28,Chidiya,Vilen,586200,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
29,"Blinding Lights","The Weeknd",579598,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
30,Butterfly,"Jass Manak",578528,https://open.spotify.com/track/0bII0GX8CepFivbJkscZlE
31,"Baby Girl","Guru Randhawa",574859,https://open.spotify.com/track/0FoAlOXHI6KJ4RHP9v8jnw
32,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",561744,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
33,Señorita,"Shawn Mendes",551249,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
34,"Love Your Voice",JONY,548722,https://open.spotify.com/track/75VNPADAFa4iNpjEBUYMhF
35,"Illegal Weapon 2.0","Jasmine Sandlas",545715,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
36,"Care Ni Karda (From ""Chhalaang"")","Sweetaj Brar",540801,https://open.spotify.com/track/6e5DH8YHXdM40ROnD76hZd
