,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1323307,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,"Mood (feat. iann dior)",24kGoldn,1088222,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,Shayad,Pritam,1002601,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
4,Liggi,Ritviz,843714,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
5,"Taaron Ke Shehar","Neha Kakkar",783610,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
6,Khairiyat,"Arijit Singh",779369,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
7,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",726267,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
8,Makhna,"Tanishk Bagchi",700912,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
9,"Teri Aankhon Mein","Darshan Raval",700669,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
10,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",696410,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
11,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",687958,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
12,"Ghungroo (From ""War"")","Arijit Singh",685389,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
13,"No Competition","Jass Manak",670462,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
14,Chidiya,Vilen,666751,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
15,"Holy (feat. Chance The Rapper)","Justin Bieber",637136,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
16,"Play Date","Melanie Martinez",626338,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
17,G.O.A.T.,"Diljit Dosanjh",620251,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
18,"Blinding Lights","The Weeknd",600096,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"Sawan Mein Lag Gayi Aag","Mika Singh",597994,https://open.spotify.com/track/6oloWgrErtc8dG2WiV55gn
20,Señorita,"Shawn Mendes",594578,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
21,"Lovesick Girls",BLACKPINK,590941,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
22,"Ice Cream (with Selena Gomez)",BLACKPINK,587331,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
23,"Baby Girl","Guru Randhawa",574067,https://open.spotify.com/track/0FoAlOXHI6KJ4RHP9v8jnw
24,"Lonely (with benny blanco)","Justin Bieber",562016,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
25,"ily (i love you baby) (feat. Emilee)","Surf Mesa",558334,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
26,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",557409,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
27,"Genda Phool (feat. Payal Dev)",Badshah,556061,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
28,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,551358,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
29,"Illegal Weapon 2.0","Jasmine Sandlas",542155,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
