,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1464657,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,Shayad,Pritam,966296,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
3,"Ice Cream (with Selena Gomez)",BLACKPINK,836326,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
4,Chidiya,Vilen,815114,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
5,Khairiyat,"Arijit Singh",806081,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
6,Liggi,Ritviz,769970,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
7,G.O.A.T.,"Diljit Dosanjh",755826,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
8,"Savage Love (Laxed - Siren Beat)","Jawsh 685",701679,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
9,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",693196,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
10,"Mood (feat. iann dior)",24kGoldn,679045,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
11,Makhna,"Tanishk Bagchi",666006,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
12,"Play Date","Melanie Martinez",661858,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
13,"WAP (feat. Megan Thee Stallion)","Cardi B",655427,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
14,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",623773,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
15,"Ghungroo (From ""War"")","Arijit Singh",618055,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
16,"Main Tumhara","A.R. Rahman",614945,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
17,"ily (i love you baby) (feat. Emilee)","Surf Mesa",574299,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
18,"Blinding Lights","The Weeknd",557106,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",551175,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
20,Feelings,"Sumit Goswami",543970,https://open.spotify.com/track/0LRNOwAcNjPMxTYQahFo3S
21,Falling,"Trevor Daniel",543278,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
22,Memories,"Maroon 5",521474,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,Señorita,"Shawn Mendes",518046,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
24,"Genda Phool (feat. Payal Dev)",Badshah,513578,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
25,Game,"Shooter Kahlon",505453,https://open.spotify.com/track/12j9XLGbDrJw7S4flHVIMj
26,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",499331,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
27,"POPSTAR (feat. Drake)","DJ Khaled",489767,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
28,"Born to Shine","Diljit Dosanjh",485710,https://open.spotify.com/track/4XxfOvudrnBRdlgzEaq1sd
29,"Duniyaa (From ""Luka Chuppi"")",Akhil,476121,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
30,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",473389,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
31,"Illegal Weapon 2.0","Jasmine Sandlas",467085,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
32,"Watermelon Sugar","Harry Styles",466519,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,466022,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
34,"death bed (coffee for your head)",Powfu,465277,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
35,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,462004,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
36,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",458450,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
37,Clash,"Diljit Dosanjh",457419,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo
38,"Roses - Imanbek Remix","SAINt JHN",450291,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
39,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",448189,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
40,"Yes or No","Jass Manak",432664,https://open.spotify.com/track/2ExyTR2mIjHyXysRf1Lnhh
41,"No Competition","Jass Manak",430439,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
42,"Udd Gaye - Bacardi House Party Sessions",Ritviz,428977,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
43,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",426198,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
