,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,G.O.A.T.,"Diljit Dosanjh",1159481,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
2,"Main Tumhara","A.R. Rahman",1032173,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
3,Shayad,Pritam,863580,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",848757,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,Khairiyat,"Arijit Singh",747477,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
6,"Dil Bechara","A.R. Rahman",705673,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO
7,Chidiya,Vilen,703316,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
8,"Play Date","Melanie Martinez",678740,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
9,"Taare Ginn","A.R. Rahman",653832,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY
10,"Khulke Jeene Ka","A.R. Rahman",645285,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf
11,Liggi,Ritviz,598886,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
12,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",597113,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
13,Clash,"Diljit Dosanjh",574799,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo
14,Makhna,"Tanishk Bagchi",561834,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
15,"ily (i love you baby) (feat. Emilee)","Surf Mesa",552961,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,551566,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"Ghungroo (From ""War"")","Arijit Singh",548356,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
18,"Blinding Lights","The Weeknd",540012,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
19,Memories,"Maroon 5",536726,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
20,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",521109,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
21,"Genda Phool (feat. Payal Dev)",Badshah,502324,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
22,Falling,"Trevor Daniel",491622,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
23,"death bed (coffee for your head)",Powfu,491326,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
24,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",488706,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
25,"Roses - Imanbek Remix","SAINt JHN",484610,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
26,cardigan,"Taylor Swift",464474,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
27,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",458951,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
28,Señorita,"Shawn Mendes",455968,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
29,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",445758,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
30,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",437752,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
31,"Dance Monkey","Tones And I",426278,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
32,"How You Like That",BLACKPINK,422496,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3
33,"Illegal Weapon 2.0","Jasmine Sandlas",417700,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
34,"Watermelon Sugar","Harry Styles",408582,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
35,"Duniyaa (From ""Luka Chuppi"")",Akhil,403508,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
36,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,397732,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
37,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",390844,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
38,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",384932,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
39,"Haan Main Galat",Pritam,383014,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
40,Mehrama,Pritam,370980,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
41,"Namo Namo","Amit Trivedi",369189,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
42,Feelings,"Sumit Goswami",365211,https://open.spotify.com/track/0LRNOwAcNjPMxTYQahFo3S
43,"Intentions (feat. Quavo)","Justin Bieber",363988,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
44,"my future","Billie Eilish",363946,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
45,"Navi Navi Yaari","Diljit Dosanjh",354044,https://open.spotify.com/track/39pjjDG9o44eDjkM4BPdiG
46,Kasoor,"Prateek Kuhad",351583,https://open.spotify.com/track/08kTa3SL9sV6Iy8KLKtGql
47,"lovely (with Khalid)","Billie Eilish",348679,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
48,"Haan Haige Aa","Karan Aujla",347832,https://open.spotify.com/track/3XQUm9KbQxla0ZtXh0cdGv
49,Maskhari,"A.R. Rahman",346887,https://open.spotify.com/track/3AeOPuf7VfwUsxeQNN9Vsv
50,Peed,"Diljit Dosanjh",339609,https://open.spotify.com/track/2Ny0SqN4HHB7nfdre6YlDb
51,Vail,"Mankirt Aulakh",338179,https://open.spotify.com/track/1bqAnuqlgbQ55AByEp0SmM
52,"TKN (feat. Travis Scott)",ROSALÍA,335083,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
53,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",328823,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
54,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",327049,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
55,"exile (feat. Bon Iver)","Taylor Swift",326922,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
56,"Ek Tarfa","Darshan Raval",324642,https://open.spotify.com/track/64r6z0P3RnhpTGdkA7p5Os
57,Believer,"Imagine Dragons",323574,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
58,"Udd Gaye - Bacardi House Party Sessions",Ritviz,323051,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
59,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",315516,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
60,"Track Suit","Diljit Dosanjh",314184,https://open.spotify.com/track/7ABCuDLEY2GyAwnGcqkmt2
61,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",306212,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
62,"Ve Maahi","Arijit Singh",299305,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
63,"Past Life (with Selena Gomez)","Trevor Daniel",297436,https://open.spotify.com/track/4P6IttK2PRBjyr3fm0pP7t
64,"Tere Naal","Tulsi Kumar",296511,https://open.spotify.com/track/2Vw94w6FxCyaYwyCivi9Py
65,Qaafirana,"Arijit Singh",295294,https://open.spotify.com/track/0xkGTPTijMU84dtHr3KQQi
66,Sakhiyaan,"Maninder Buttar",291156,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
67,"Akh Laal Jatt Di","Diljit Dosanjh",284879,https://open.spotify.com/track/5hpAtI6qlmMtB2qQtIY2bn
68,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",282993,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
69,"Ek Raat",Vilen,278872,https://open.spotify.com/track/2jHicGSFIXm8dUdGz2wwzx
70,"bad guy","Billie Eilish",278715,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
71,"On My Way","Alan Walker",278267,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
72,"Someone You Loved","Lewis Capaldi",275369,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
73,"Yaad Piya Ki Aane Lagi","Neha Kakkar",273357,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
74,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",273228,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
75,"Without Me",Halsey,272774,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
76,Cradles,"Sub Urban",271238,https://open.spotify.com/track/1y4jsQt7MjnZhiD1L6qFBC
77,"Jaan 'Nisaar (Arijit)","Arijit Singh",270619,https://open.spotify.com/track/6pzlnyHTVYi5FOmrgOmC95
78,"Can We Kiss Forever?",Kina,269147,https://open.spotify.com/track/58wyJLv6yH1La9NIZPl3ne
79,"Boy With Luv (feat. Halsey)",BTS,264408,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
80,"Lagdi Lahore Di (From ""Street Dancer 3D"")","Guru Randhawa",262901,https://open.spotify.com/track/5ZQnQnbUVtBO0pl3ShqVHG
81,"Kho Gaye Hum Kahan","Jasleen Royal",262788,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g
82,"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,262419,https://open.spotify.com/track/2U0BLmYoSESYOdwMxW2yA9
83,Skechers,DripReport,259472,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
84,"Be Kind (with Halsey)",Marshmello,257578,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
85,"Let Me Down Slowly","Alec Benjamin",256612,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
