,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1362968,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,Shayad,Pritam,991152,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
3,"Mood (feat. iann dior)",24kGoldn,910384,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,Khairiyat,"Arijit Singh",804583,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
5,Liggi,Ritviz,778393,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
6,Chidiya,Vilen,770022,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
7,"Holy (feat. Chance The Rapper)","Justin Bieber",747921,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
8,"Ghungroo (From ""War"")","Arijit Singh",732582,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
9,"Ice Cream (with Selena Gomez)",BLACKPINK,725406,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
10,G.O.A.T.,"Diljit Dosanjh",716938,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
11,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",714528,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
12,Makhna,"Tanishk Bagchi",696352,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
13,"Play Date","Melanie Martinez",668847,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
14,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",658690,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
15,"Savage Love (Laxed - Siren Beat)","Jawsh 685",652846,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
16,"Genda Phool (feat. Payal Dev)",Badshah,615462,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
17,"WAP (feat. Megan Thee Stallion)","Cardi B",606451,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
18,"Main Tumhara","A.R. Rahman",590152,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
19,"ily (i love you baby) (feat. Emilee)","Surf Mesa",576912,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
20,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,571327,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
21,Señorita,"Shawn Mendes",558938,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
22,"Illegal Weapon 2.0","Jasmine Sandlas",554800,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
23,"Blinding Lights","The Weeknd",553865,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
24,Better,ZAYN,538002,https://open.spotify.com/track/1dLXLETYiZohIZWnse4ypG
25,"No Competition","Jass Manak",534013,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
26,Memories,"Maroon 5",528289,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",523786,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
28,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",521679,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
29,Falling,"Trevor Daniel",521091,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
30,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",518460,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
31,"Duniyaa (From ""Luka Chuppi"")",Akhil,505167,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
