,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Dynamite,BTS,1293794,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
2,"Mood (feat. iann dior)",24kGoldn,1049691,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,Shayad,Pritam,1026212,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
4,Liggi,Ritviz,830684,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
5,Khairiyat,"Arijit Singh",802891,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
6,"Savage Love (Laxed – Siren Beat) [BTS Remix]","Jawsh 685",793286,https://open.spotify.com/track/4TgxFMOn5yoESW6zCidCXL
7,Chidiya,Vilen,727138,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
8,Makhna,"Tanishk Bagchi",710354,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
9,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",704287,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
10,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",699306,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
11,"Lovesick Girls",BLACKPINK,695045,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C
12,"Ghungroo (From ""War"")","Arijit Singh",678402,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
13,"Taaron Ke Shehar","Neha Kakkar",672815,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
14,G.O.A.T.,"Diljit Dosanjh",664610,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
15,"Play Date","Melanie Martinez",659044,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
16,"Ice Cream (with Selena Gomez)",BLACKPINK,648610,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz
17,"No Competition","Jass Manak",597928,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
18,"Holy (feat. Chance The Rapper)","Justin Bieber",593607,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
19,Señorita,"Shawn Mendes",590042,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
20,"ily (i love you baby) (feat. Emilee)","Surf Mesa",588536,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
21,"Blinding Lights","The Weeknd",583340,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
22,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,573881,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
23,"Genda Phool (feat. Payal Dev)",Badshah,566340,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
24,"Illegal Weapon 2.0","Jasmine Sandlas",558660,https://open.spotify.com/track/7CY0CmCpSglfUKCBOOiRfw
25,"Main Tumhara","A.R. Rahman",540912,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
26,Memories,"Maroon 5",538817,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,"Baby Girl","Guru Randhawa",538695,https://open.spotify.com/track/0FoAlOXHI6KJ4RHP9v8jnw
28,"How You Like That",BLACKPINK,526822,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
29,"Savage Love (Laxed - Siren Beat)","Jawsh 685",525174,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
30,Falling,"Trevor Daniel",523702,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
31,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",518420,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
32,"Duniyaa (From ""Luka Chuppi"")",Akhil,513342,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
33,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",512707,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
34,"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik",510075,https://open.spotify.com/track/1fzAokzOONl4XEPUFoammu
35,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",503249,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
36,"WAP (feat. Megan Thee Stallion)","Cardi B",503170,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
37,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",496090,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
38,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",493769,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
39,Butterfly,"Jass Manak",486242,https://open.spotify.com/track/0bII0GX8CepFivbJkscZlE
40,"Teri Aankhon Mein","Darshan Raval",485481,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
41,"death bed (coffee for your head)",Powfu,482310,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
42,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",462477,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
43,"lovely (with Khalid)","Billie Eilish",460092,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
44,Believer,"Imagine Dragons",455153,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
45,"Haan Main Galat",Pritam,453523,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
46,"Tum Hi Aana (From ""Marjaavaan"")","Payal Dev",446753,https://open.spotify.com/track/6E9UwSfT80age2xknoMS7Y
47,"Udd Gaye - Bacardi House Party Sessions",Ritviz,445723,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
48,"Intentions (feat. Quavo)","Justin Bieber",438244,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
49,"Born to Shine","Diljit Dosanjh",434724,https://open.spotify.com/track/4XxfOvudrnBRdlgzEaq1sd
50,"Sawan Mein Lag Gayi Aag","Mika Singh",434154,https://open.spotify.com/track/6oloWgrErtc8dG2WiV55gn
51,Mehrama,Pritam,431810,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
52,"Namo Namo","Amit Trivedi",429319,https://open.spotify.com/track/5QtQFSdyZEl0w4iDxAyv76
53,"Pretty Savage",BLACKPINK,422929,https://open.spotify.com/track/1XnpzbOGptRwfJhZgLbmSr
54,Feelings,"Sumit Goswami",399674,https://open.spotify.com/track/0LRNOwAcNjPMxTYQahFo3S
55,"Yaad Piya Ki Aane Lagi","Neha Kakkar",391332,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
56,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",388108,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
57,Sakhiyaan,"Maninder Buttar",386464,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
58,"Let Me Down Slowly","Alec Benjamin",386305,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
59,Clash,"Diljit Dosanjh",383616,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo
60,"Boy With Luv (feat. Halsey)",BTS,382943,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
61,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","Arijit Singh",375269,https://open.spotify.com/track/1aIhAX6324JZmhNnGltwkK
