,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,G.O.A.T.,"Diljit Dosanjh",895283,https://open.spotify.com/track/46QbY78ha62aiu6gBgC7lS
2,"Main Tumhara","A.R. Rahman",876725,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
3,Shayad,Pritam,866916,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
4,"Savage Love (Laxed - Siren Beat)","Jawsh 685",829198,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
5,Khairiyat,"Arijit Singh",746649,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
6,Chidiya,Vilen,745385,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
7,"Play Date","Melanie Martinez",666452,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
8,Liggi,Ritviz,636045,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
9,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",616093,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
10,Makhna,"Tanishk Bagchi",589743,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
11,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,580602,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
12,"Dil Bechara","A.R. Rahman",579895,https://open.spotify.com/track/4UJkUnfEEL8B2JZ1OQfYOO
13,"Ghungroo (From ""War"")","Arijit Singh",566162,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
14,"ily (i love you baby) (feat. Emilee)","Surf Mesa",557612,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
15,"Blinding Lights","The Weeknd",544543,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
16,"Khulke Jeene Ka","A.R. Rahman",539725,https://open.spotify.com/track/1XFZMenJ30FfGOsj8X5sqf
17,Memories,"Maroon 5",529668,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
18,Clash,"Diljit Dosanjh",525783,https://open.spotify.com/track/7krGSbOnw13S7tIpgVEWAo
19,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",519974,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
20,Falling,"Trevor Daniel",516621,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
21,"death bed (coffee for your head)",Powfu,513452,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
22,"Taare Ginn","A.R. Rahman",513203,https://open.spotify.com/track/1wbxjQnN7MTk8MKt3SumyY
23,"Genda Phool (feat. Payal Dev)",Badshah,503890,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
24,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",499058,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
25,"Roses - Imanbek Remix","SAINt JHN",498776,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
26,Señorita,"Shawn Mendes",473693,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
27,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",469828,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
28,"Smile (with The Weeknd)","Juice WRLD",469335,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
29,"Humraah (From ""Malang - Unleash The Madness"")","Sachet Tandon",463245,https://open.spotify.com/track/4xmkpE1Si5JL7NFxWrhV0S
