,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
53,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","Ayushmann Khurrana",503795,https://open.spotify.com/track/3qrdLVOClRU4yPkcXZ7c5u
54,Adhiya,"Karan Aujla",500329,https://open.spotify.com/track/5LEjxlKCcYH8irGpRtjbj0
55,Butterfly,"Jass Manak",500226,https://open.spotify.com/track/0bII0GX8CepFivbJkscZlE
56,"Main Tumhara","A.R. Rahman",495883,https://open.spotify.com/track/2ZvWoJ82LKCgD0nU9H5ue5
57,"Duniyaa (From ""Luka Chuppi"")",Akhil,492776,https://open.spotify.com/track/3s3J70eRpRH2hcYq4mEXTJ
58,34+35,"Ariana Grande",489396,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
59,"Haan Main Galat",Pritam,489249,https://open.spotify.com/track/0MLZAgKQKHbPsJ12qHS860
60,"Udd Gaye - Bacardi House Party Sessions",Ritviz,484112,https://open.spotify.com/track/6wZJsut8fjiWiMPaccRAOX
61,"Born to Shine","Diljit Dosanjh",482169,https://open.spotify.com/track/4XxfOvudrnBRdlgzEaq1sd
62,"Brown Munde","AP Dhillon",477125,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4
63,Mehrama,Pritam,470937,https://open.spotify.com/track/6cUOiOY5qh2FpIQWIYAd2h
64,"Kho Gaye Hum Kahan","Jasleen Royal",467351,https://open.spotify.com/track/6nZiYSBwPQ7fYnVWkkkj4g
65,"Levitating (feat. DaBaby)","Dua Lipa",463365,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
66,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",462933,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
67,"champagne problems","Taylor Swift",460394,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
68,"Buttabomma - Telugu","Armaan Malik",460269,https://open.spotify.com/track/0dnDTvdUco2UbaBjUtPxNS
69,"Bewafa Tera Masoom Chehra","Rochak Kohli",452730,https://open.spotify.com/track/2plj6f8TqOF0YNuHd2VzJD
70,Chithiyaan,"Karan Aujla",451578,https://open.spotify.com/track/7HRvfjNicVkQnohrpOvjjL
71,"How You Like That",BLACKPINK,450792,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o
72,"Baby Girl","Guru Randhawa",449464,https://open.spotify.com/track/0FoAlOXHI6KJ4RHP9v8jnw
73,"Let Me Down Slowly","Alec Benjamin",446532,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
74,"Scam 1992 Theme Music",Achint,442983,https://open.spotify.com/track/3A04b0nJb2nAzGUw2rqDsI
75,Phulkari,"Karan Randhawa",440146,https://open.spotify.com/track/1f660M0jwz7F4qlDjTSLmO
76,"Yaad Piya Ki Aane Lagi","Neha Kakkar",431713,https://open.spotify.com/track/0TkquWzzuxcrwbCWlTrKYF
77,"Blue & Grey",BTS,431554,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
