,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Naach Meri Rani","Guru Randhawa",1433547,https://open.spotify.com/track/1orM67pmkNc4alrZkWjYkV
2,Dynamite,BTS,1196261,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
3,"BurjKhalifa (From ""Laxmii"")",Shashi,1141880,https://open.spotify.com/track/3ZVKI8jix6PjEFx2xFBFhz
4,Mirchi,DIVINE,1058103,https://open.spotify.com/track/5KkCsYIgMK5H7Ih31Dnd2Q
5,Shayad,Pritam,1049924,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
6,"Mood (feat. iann dior)",24kGoldn,1040346,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,Liggi,Ritviz,939601,https://open.spotify.com/track/66Nmp3ztIMqX1j8yYtWl1X
8,"Taaron Ke Shehar","Neha Kakkar",922240,https://open.spotify.com/track/1r6sFC5J0p9r3jcfIoSGDM
9,positions,"Ariana Grande",875147,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
10,"Teri Aankhon Mein","Darshan Raval",860157,https://open.spotify.com/track/3wmI2n0Whs6kg4MT8jFRU1
11,Waalian,Harnoor,839547,https://open.spotify.com/track/4Nc4ojIRbHohLiX9NmKkVh
12,Adhiya,"Karan Aujla",807324,https://open.spotify.com/track/5LEjxlKCcYH8irGpRtjbj0
13,"No Competition","Jass Manak",793454,https://open.spotify.com/track/4AVe62GFbb3ffKXjUSpiuv
14,Khairiyat,"Arijit Singh",758554,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
15,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",726713,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
16,"Ghungroo (From ""War"")","Arijit Singh",715759,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
17,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Rochak Kohli",702237,https://open.spotify.com/track/57jOEZtoLQK4zF2x55bdkp
18,Makhna,"Tanishk Bagchi",671388,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
19,"Play Date","Melanie Martinez",663834,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
20,"Sawan Mein Lag Gayi Aag","Mika Singh",646631,https://open.spotify.com/track/6oloWgrErtc8dG2WiV55gn
21,"Scam 1992 Theme Music",Achint,645027,https://open.spotify.com/track/3A04b0nJb2nAzGUw2rqDsI
22,Chidiya,Vilen,635610,https://open.spotify.com/track/7mNZUnDWUDidWBFaUpVtOC
23,"lovely (with Khalid)","Billie Eilish",622624,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
24,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",Badshah,619801,https://open.spotify.com/track/6q9XTgfWilsnyiFofvYrIF
25,"Baby Girl","Guru Randhawa",615314,https://open.spotify.com/track/0FoAlOXHI6KJ4RHP9v8jnw
26,Señorita,"Shawn Mendes",604102,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
