,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",89389,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Dance Monkey","Tones And I",73425,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Blinding Lights","The Weeknd",72325,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"eMcimbini - Live","Kabza De Small",66760,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
5,"Life Is Good (feat. Drake)",Future,64092,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
6,"Intentions (feat. Quavo)","Justin Bieber",63426,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Don't Start Now","Dua Lipa",59940,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,Circles,"Post Malone",53950,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,"everything i wanted","Billie Eilish",50816,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
10,Falling,"Trevor Daniel",49608,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"Godzilla (feat. Juice WRLD)",Eminem,47178,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
12,Memories,"Maroon 5",45422,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
13,ROXANNE,"Arizona Zervas",43180,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"You're the One",Elaine,42880,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
15,Yummy,"Justin Bieber",42878,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
16,"Someone You Loved","Lewis Capaldi",42843,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"Say So","Doja Cat",41374,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18,"Beautiful People (feat. Khalid)","Ed Sheeran",40233,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
19,"No Time To Die","Billie Eilish",38959,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
20,"I Don't Care (with Justin Bieber)","Ed Sheeran",38919,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
21,"Roses - Imanbek Remix","SAINt JHN",38842,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
22,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",37005,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
23,"Stupid Love","Lady Gaga",36589,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
24,Lorch,"Kabza De Small",36465,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
25,"Lose Control",MEDUZA,35552,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
26,"High Fashion (feat. Mustard)","Roddy Ricch",34964,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
27,"After Hours","The Weeknd",34868,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
28,"Sunday Best",Surfaces,34092,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
29,"Eastside (with Halsey & Khalid)","benny blanco",33377,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
30,"Before You Go","Lewis Capaldi",33157,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
