,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",95978,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
2,"Mood (feat. iann dior)",24kGoldn,89945,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,positions,"Ariana Grande",81639,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",79119,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,"John Vuli Gate (feat. Ntosh Gazi & Colano)","Mapara A Jazz",73986,https://open.spotify.com/track/7IAMurey3mCF73caRZcdOC
6,"What You Know Bout Love","Pop Smoke",70637,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,"WAP (feat. Megan Thee Stallion)","Cardi B",69853,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
8,"Laugh Now Cry Later (feat. Lil Durk)",Drake,69314,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
9,"Head & Heart (feat. MNEK)","Joel Corry",68504,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
10,"Blinding Lights","The Weeknd",65175,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
11,Uthando,"Soa Mattrix",63953,https://open.spotify.com/track/5IvqTpprgCdj6dcw588MPZ
12,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,61808,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
13,"POPSTAR (feat. Drake)","DJ Khaled",57029,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
14,"Mood Swings (feat. Lil Tjay)","Pop Smoke",55585,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
15,"Holy (feat. Chance The Rapper)","Justin Bieber",54401,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
16,"Watermelon Sugar","Harry Styles",53076,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,"Breaking Me",Topic,52406,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
