,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",94422,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Blinding Lights","The Weeknd",74689,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"Dance Monkey","Tones And I",67552,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Intentions (feat. Quavo)","Justin Bieber",58550,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
5,"Godzilla (feat. Juice WRLD)",Eminem,58462,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
6,"Don't Start Now","Dua Lipa",58118,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,"eMcimbini - Live","Kabza De Small",57793,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
8,"Life Is Good (feat. Drake)",Future,56919,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
9,Circles,"Post Malone",52858,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
10,Falling,"Trevor Daniel",47473,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
11,"Roses - Imanbek Remix","SAINt JHN",46528,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
12,Memories,"Maroon 5",46493,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
13,ROXANNE,"Arizona Zervas",43196,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
14,"everything i wanted","Billie Eilish",42540,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
15,"Say So","Doja Cat",40513,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
16,"Someone You Loved","Lewis Capaldi",39979,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"Sunday Best",Surfaces,39392,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
18,"You're the One",Elaine,38915,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
19,"Beautiful People (feat. Khalid)","Ed Sheeran",37374,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
20,Yummy,"Justin Bieber",36696,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
21,"High Fashion (feat. Mustard)","Roddy Ricch",35933,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
22,"Blueberry Faygo","Lil Mosey",35506,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
23,"I Don't Care (with Justin Bieber)","Ed Sheeran",35092,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
24,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",33414,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
25,"Adore You","Harry Styles",33003,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
26,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",32548,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
27,"death bed (coffee for your head)",Powfu,32450,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
28,"Eastside (with Halsey & Khalid)","benny blanco",31610,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
29,"WHATS POPPIN","Jack Harlow",31587,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
30,"Before You Go","Lewis Capaldi",31194,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,Skechers,DripReport,30797,https://open.spotify.com/track/4z2JaAVPemYJhFKm7e32RA
32,Señorita,"Shawn Mendes",30561,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
33,"Lose Control",MEDUZA,30390,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
34,"My Oh My (feat. DaBaby)","Camila Cabello",29354,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
35,"bad guy","Billie Eilish",28774,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
36,Lorch,"Kabza De Small",28460,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
37,"What A Man Gotta Do","Jonas Brothers",28166,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
38,"Know Your Worth",Khalid,27230,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
39,"You should be sad",Halsey,27201,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
40,"No Time To Die","Billie Eilish",27093,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
41,"After Hours","The Weeknd",26711,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
42,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",26383,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
43,"Ride It",Regard,26162,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
44,"B.S. (feat. H.E.R.)","Jhené Aiko",26026,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
45,"hot girl bummer",blackbear,25989,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
