,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",89422,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
2,positions,"Ariana Grande",83643,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,81924,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",71664,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,Uthando,"Soa Mattrix",67821,https://open.spotify.com/track/5IvqTpprgCdj6dcw588MPZ
6,"What You Know Bout Love","Pop Smoke",65802,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,"Head & Heart (feat. MNEK)","Joel Corry",65022,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
8,"John Vuli Gate (feat. Ntosh Gazi & Colano)","Mapara A Jazz",62018,https://open.spotify.com/track/7IAMurey3mCF73caRZcdOC
9,"WAP (feat. Megan Thee Stallion)","Cardi B",61583,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
10,"Laugh Now Cry Later (feat. Lil Durk)",Drake,61411,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
11,"Blinding Lights","The Weeknd",61193,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
12,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,55366,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
13,"Holy (feat. Chance The Rapper)","Justin Bieber",52849,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
14,"you broke me first","Tate McRae",50981,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,"POPSTAR (feat. Drake)","DJ Khaled",50662,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
16,"Watermelon Sugar","Harry Styles",49660,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,"Mood Swings (feat. Lil Tjay)","Pop Smoke",48534,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
18,34+35,"Ariana Grande",47903,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
19,"Breaking Me",Topic,47735,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
20,"Xola Moya Wam' (feat. Master KG)","Nomcebo Zikode",46778,https://open.spotify.com/track/5cvU0DOYHkzKRJAOmgYrKA
21,"Go Crazy","Chris Brown",45369,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
22,"Savage Love (Laxed - Siren Beat)","Jawsh 685",45243,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
23,"Lonely (with benny blanco)","Justin Bieber",44742,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
24,"Roses - Imanbek Remix","SAINt JHN",44545,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
25,Dynamite,BTS,44052,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
26,"Someone You Loved","Lewis Capaldi",43564,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,"Jazzidisciples (Zlele)","Reece Madlisa",41393,https://open.spotify.com/track/7DsqUINZuae9IbmMAQgx6y
28,"Take You Dancing","Jason Derulo",40306,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
29,"Come & Go (with Marshmello)","Juice WRLD",39017,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
30,"Wishing Well","Juice WRLD",38995,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
31,"Put Your Records On","Ritt Momney",37792,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
32,Dior,"Pop Smoke",37786,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
33,Wonder,"Shawn Mendes",37772,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
34,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)","Mfr Souls",37437,https://open.spotify.com/track/7cVgVA4VO6EaVWvKZGQF9m
35,"Bella Ciao","Tyler ICU",36110,https://open.spotify.com/track/1gu8xPM3tPyIqKFHxSS6Dv
36,"motive (with Doja Cat)","Ariana Grande",36067,https://open.spotify.com/track/5GkQIP5mWPi4KZLLXeuFTT
37,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",35425,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
38,"Dance Monkey","Tones And I",35137,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
39,Memories,"Maroon 5",34081,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
40,"Tyler Herro","Jack Harlow",33151,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
41,"GREECE (feat. Drake)","DJ Khaled",32194,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
42,"Be Kind (with Halsey)",Marshmello,31783,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
43,"Beautiful People (feat. Khalid)","Ed Sheeran",31320,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
