,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",90876,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
2,positions,"Ariana Grande",74229,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
3,"Mood (feat. iann dior)",24kGoldn,73933,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",68157,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,"What You Know Bout Love","Pop Smoke",66203,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
6,Uthando,"Soa Mattrix",65252,https://open.spotify.com/track/5IvqTpprgCdj6dcw588MPZ
7,"Head & Heart (feat. MNEK)","Joel Corry",64056,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
8,Ndikhokhele,"Jub Jub",60602,https://open.spotify.com/track/3L3VkK1zCk1RSMIR9JH0YU
9,"Blinding Lights","The Weeknd",59706,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,"WAP (feat. Megan Thee Stallion)","Cardi B",59637,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
11,"Laugh Now Cry Later (feat. Lil Durk)",Drake,59350,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
12,"John Vuli Gate (feat. Ntosh Gazi & Colano)","Mapara A Jazz",54702,https://open.spotify.com/track/7IAMurey3mCF73caRZcdOC
13,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,53041,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
14,"Holy (feat. Chance The Rapper)","Justin Bieber",52812,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
15,"you broke me first","Tate McRae",51245,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
16,"Watermelon Sugar","Harry Styles",48620,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,"Lonely (with benny blanco)","Justin Bieber",48531,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
18,"Breaking Me",Topic,47857,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
19,"Mood Swings (feat. Lil Tjay)","Pop Smoke",46827,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
20,"POPSTAR (feat. Drake)","DJ Khaled",46251,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
