,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
52,"Life Is Good (feat. Drake)",Future,26787,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
53,"Midnight Sky","Miley Cyrus",26733,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
54,Robbery,"Juice WRLD",26487,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
55,"Stuck with U (with Justin Bieber)","Ariana Grande",26474,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
56,"Chicago Freestyle (feat. Giveon)",Drake,26417,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
57,"Ke Star",Focalistic,26101,https://open.spotify.com/track/5I4C1yjAWDREGD5JLzqux1
58,"Party Girl",StaySolidRocky,25682,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
59,"Mad at Disney","salem ilese",25576,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE
60,"Put Your Records On","Ritt Momney",25088,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
61,"Rain On Me (with Ariana Grande)","Lady Gaga",25036,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
62,"Lose Somebody",Kygo,25008,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
63,Sponono,"Kabza De Small",24841,https://open.spotify.com/track/4SbOJrfNvUuHGGmJ8BeLHU
64,"HIGHEST IN THE ROOM","Travis Scott",24344,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
65,"Adore You","Harry Styles",24048,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
66,"If the World Was Ending - feat. Julia Michaels","JP Saxe",24027,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
67,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",23970,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
68,"I Don't Care (with Justin Bieber)","Ed Sheeran",23717,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
69,"Lucid Dreams","Juice WRLD",23535,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
70,Youngblood,"5 Seconds of Summer",23460,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
71,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",23423,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
72,"Ice Cream (with Selena Gomez)",BLACKPINK,23341,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX
73,Falling,"Trevor Daniel",23211,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
74,Risky,Elaine,22991,https://open.spotify.com/track/76Updb7OaDsoOHuqFbsuYr
75,Señorita,"Shawn Mendes",22917,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
76,Shallow,"Lady Gaga",22696,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
77,"Post Malone (feat. RANI)","Sam Feldt",22684,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
78,goosebumps,"Travis Scott",22466,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
79,"Ubomi Abumanga","Sun-El Musician",22447,https://open.spotify.com/track/1Eum24tziiY0sRBRx7hWBb
80,"You're the One",Elaine,22391,https://open.spotify.com/track/4fxwbUSI6jF4XdnvCUVG97
