,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",96130,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Godzilla (feat. Juice WRLD)",Eminem,82550,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
3,"Dance Monkey","Tones And I",81650,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"Life Is Good (feat. Drake)",Future,76371,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
5,Circles,"Post Malone",57271,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
6,Memories,"Maroon 5",55869,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
7,Yummy,"Justin Bieber",54130,https://open.spotify.com/track/41L3O37CECZt3N7ziG2z7l
8,"Don't Start Now","Dua Lipa",52533,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
9,"Blinding Lights","The Weeknd",52368,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
10,"everything i wanted","Billie Eilish",51545,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,Falling,"Trevor Daniel",49962,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,ROXANNE,"Arizona Zervas",46209,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
13,"Lose You To Love Me","Selena Gomez",42425,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
14,"Beautiful People (feat. Khalid)","Ed Sheeran",42361,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
15,Lorch,"Kabza De Small",40705,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
16,"Someone You Loved","Lewis Capaldi",40616,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,"I Don't Care (with Justin Bieber)","Ed Sheeran",39738,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
18,"bad guy","Billie Eilish",39256,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
19,Señorita,"Shawn Mendes",38787,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
20,"What A Man Gotta Do","Jonas Brothers",37622,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
21,"You should be sad",Halsey,36817,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
22,"Lose Control",MEDUZA,34428,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
23,Rare,"Selena Gomez",33081,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
24,"My Oh My (feat. DaBaby)","Camila Cabello",32996,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
25,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",32561,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
26,BOP,DaBaby,32542,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
27,"Good News","Mac Miller",31707,https://open.spotify.com/track/1DWZUa5Mzf2BwzpHtgbHPY
28,Sandton,"Kabza De Small",31683,https://open.spotify.com/track/0ddnry07vtuLzEVK63bw3R
29,"Eastside (with Halsey & Khalid)","benny blanco",31344,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
30,Phoyisa,"DJ Maphorisa",31040,https://open.spotify.com/track/0HfH8qGXIbl1l2h7IW5Jfh
31,"Watermelon Sugar","Harry Styles",28898,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
32,"Before You Go","Lewis Capaldi",28385,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,Takeaway,"The Chainsmokers",27304,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
34,"Call You Mine","The Chainsmokers",27289,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
35,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",27109,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
36,Suicidal,"YNW Melly",27062,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
37,"Trampoline (with ZAYN)",SHAED,26548,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
38,"No Idea","Don Toliver",26288,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
39,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)","Mfr Souls",26229,https://open.spotify.com/track/2NbUnaGrjwRuRjZ5EPyOR5
