,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Tyler Herro","Jack Harlow",35376,https://open.spotify.com/track/3w1WjD2zJqjBjDz5fwqQPJ
55,"Lonely (with benny blanco)","Justin Bieber",34708,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
56,Circles,"Post Malone",34603,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
57,Body,"Megan Thee Stallion",34543,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
58,"Paradise (feat. Dermot Kennedy)",MEDUZA,34269,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
59,"Levitating (feat. DaBaby)","Dua Lipa",34203,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
60,Memories,"Maroon 5",34184,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
61,"Blueberry Faygo","Lil Mosey",34040,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
62,"champagne problems","Taylor Swift",33696,https://open.spotify.com/track/0sY6ZUTh4yoctD8VIXz339
63,Wonder,"Shawn Mendes",33192,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
64,Robbery,"Juice WRLD",33176,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
65,"She Knows This","Kid Cudi",32624,https://open.spotify.com/track/1xzUQMiCoY5pdego0pHMeV
66,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","Jack Harlow",31986,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
67,"Lucid Dreams","Juice WRLD",31529,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
68,"Samarian Boy","Musa Keys",31401,https://open.spotify.com/track/61P7fkM3YBSTGCrLBUaWKM
69,"Life Is Good (feat. Drake)",Future,31308,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
70,"Beautiful People (feat. Khalid)","Ed Sheeran",31184,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
71,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",31033,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
72,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",30943,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
73,"Ke Star (feat. Vigro Deep)",Focalistic,30885,https://open.spotify.com/track/7uhOIYLVWbBZ6ISBoyiMrl
74,"no body, no crime (feat. HAIM)","Taylor Swift",30584,https://open.spotify.com/track/6NriykdkRrjQMZo1sfVYUo
75,pov,"Ariana Grande",29808,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
76,"Put Your Records On","Ritt Momney",29735,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
77,"gold rush","Taylor Swift",29655,https://open.spotify.com/track/5BK0uqwY9DNfZ630STAEaq
78,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",29432,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
79,"Be Kind (with Halsey)",Marshmello,29403,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
