,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",102354,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",89124,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Roses - Imanbek Remix","SAINt JHN",65578,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Dance Monkey","Tones And I",62915,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,"Don't Start Now","Dua Lipa",55363,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
6,"In Your Eyes","The Weeknd",54759,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
7,"Intentions (feat. Quavo)","Justin Bieber",54411,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
8,"eMcimbini - Live","Kabza De Small",53369,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
9,"Life Is Good (feat. Drake)",Future,52730,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
10,"Godzilla (feat. Juice WRLD)",Eminem,51005,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
11,Circles,"Post Malone",50580,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
12,"After Hours","The Weeknd",49022,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
13,Falling,"Trevor Daniel",46145,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
14,Memories,"Maroon 5",43637,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
15,Heartless,"The Weeknd",42406,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
16,ROXANNE,"Arizona Zervas",41426,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
17,"Say So","Doja Cat",40684,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
18,"Sunday Best",Surfaces,40371,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
19,"everything i wanted","Billie Eilish",39116,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
20,"Someone You Loved","Lewis Capaldi",38865,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Alone Again","The Weeknd",37580,https://open.spotify.com/track/6b5P51m8xx2XA6U7sdNZ5E
22,"Blueberry Faygo","Lil Mosey",37546,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
23,"Scared To Live","The Weeknd",37010,https://open.spotify.com/track/4BGZF4oLbTL0pWm7C18pbv
24,"death bed (coffee for your head)",Powfu,36958,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
25,"Beautiful People (feat. Khalid)","Ed Sheeran",36885,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
26,"Too Late","The Weeknd",36690,https://open.spotify.com/track/2K9Ovn1o2bTGqbsABGC6m3
27,"Hardest To Love","The Weeknd",35598,https://open.spotify.com/track/6kWxIqQDsKFYCJGbU4AjCX
28,Skechers,DripReport,35442,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
29,Snowchild,"The Weeknd",34762,https://open.spotify.com/track/3WlbeuhfRSqU7ylK2Ui5U7
30,"High Fashion (feat. Mustard)","Roddy Ricch",34198,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
31,"Escape From LA","The Weeknd",34140,https://open.spotify.com/track/1sOW4PuG5X3Ie3EXUhAopJ
32,"Adore You","Harry Styles",32989,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
33,"I Don't Care (with Justin Bieber)","Ed Sheeran",32845,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
34,Faith,"The Weeknd",32662,https://open.spotify.com/track/3orEOtd8CPL8GFlpRpKuoE
35,Yummy,"Justin Bieber",32524,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
36,"You're the One",Elaine,32268,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
37,"WHATS POPPIN","Jack Harlow",31414,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
38,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",30827,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
39,"Save Your Tears","The Weeknd",30031,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
40,Señorita,"Shawn Mendes",29401,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
41,"Before You Go","Lewis Capaldi",29175,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
42,"Lose Control",MEDUZA,28510,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
43,"bad guy","Billie Eilish",28049,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
44,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",26943,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
45,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",26231,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
46,"My Oh My (feat. DaBaby)","Camila Cabello",26125,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
47,"Eastside (with Halsey & Khalid)","benny blanco",26081,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
48,"What A Man Gotta Do","Jonas Brothers",26060,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
49,"Ballin' (with Roddy Ricch)",Mustard,25409,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
50,Sandton,"Kabza De Small",25023,https://open.spotify.com/track/0ddnry07vtuLzEVK63bw3R
51,Supalonely,BENEE,24856,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
