,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Laugh Now Cry Later (feat. Lil Durk)",Drake,118762,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
2,"WAP (feat. Megan Thee Stallion)","Cardi B",107879,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,76187,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,"Blinding Lights","The Weeknd",65803,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
5,"Savage Love (Laxed - Siren Beat)","Jawsh 685",63654,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
6,"Smile (with The Weeknd)","Juice WRLD",58085,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
7,"Mood Swings (feat. Lil Tjay)","Pop Smoke",57823,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
8,"Go Crazy","Chris Brown",57716,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
9,"Roses - Imanbek Remix","SAINt JHN",55541,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
10,"Wishing Well","Juice WRLD",53978,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
11,"Breaking Me",Topic,52411,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
12,"Watermelon Sugar","Harry Styles",49223,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
13,"Come & Go (with Marshmello)","Juice WRLD",48627,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
14,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",48591,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
15,"GREECE (feat. Drake)","DJ Khaled",47362,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
16,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",46506,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
17,"POPSTAR (feat. Drake)","DJ Khaled",45573,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
18,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",45275,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
19,"Someone You Loved","Lewis Capaldi",42662,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"Toosie Slide",Drake,41196,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
21,"Blueberry Faygo","Lil Mosey",39542,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
22,"Dance Monkey","Tones And I",38840,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
23,Dior,"Pop Smoke",38150,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
24,"The Box","Roddy Ricch",35902,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
25,"Beautiful People (feat. Khalid)","Ed Sheeran",35841,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
26,"death bed (coffee for your head)",Powfu,35726,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
27,Memories,"Maroon 5",35279,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
28,"Party Girl",StaySolidRocky,35058,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
29,"Be Kind (with Halsey)",Marshmello,34700,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
30,Circles,"Post Malone",34218,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
31,"Chicago Freestyle (feat. Giveon)",Drake,34196,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
32,"Intentions (feat. Quavo)","Justin Bieber",33921,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
33,"Life Is Good (feat. Drake)",Future,32959,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
34,"my future","Billie Eilish",32452,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C
35,"Stuck with U (with Justin Bieber)","Ariana Grande",31764,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
36,"Head & Heart (feat. MNEK)","Joel Corry",31207,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
37,"Before You Go","Lewis Capaldi",30596,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
38,Falling,"Trevor Daniel",30306,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
39,"You're the One",Elaine,30248,https://open.spotify.com/track/4fxwbUSI6jF4XdnvCUVG97
40,"Don't Start Now","Dua Lipa",29078,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
41,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",27044,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
42,"Jerusalema (feat. Nomcebo Zikode)","Master KG",26932,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
43,"Rain On Me (with Ariana Grande)","Lady Gaga",26891,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
44,"If the World Was Ending - feat. Julia Michaels","JP Saxe",26802,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
45,"ily (i love you baby) (feat. Emilee)","Surf Mesa",26706,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
46,"My Oasis (feat. Burna Boy)","Sam Smith",26562,https://open.spotify.com/track/2KoHxhRyWxJzA0VafWd5Nk
47,"Break My Heart","Dua Lipa",26293,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
48,"Lose Somebody",Kygo,26266,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
49,"Lucid Dreams","Juice WRLD",26121,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
50,"Adore You","Harry Styles",26096,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
51,Conversations,"Juice WRLD",26065,https://open.spotify.com/track/4K06PO78fW4mnBVenxGNob
52,Lemonade,"Internet Money",25918,https://open.spotify.com/track/02kDW379Yfd5PzW5A6vuGt
53,"exile (feat. Bon Iver)","Taylor Swift",25848,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y
54,"you broke me first","Tate McRae",25765,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
55,"Midnight Sky","Miley Cyrus",25437,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB
56,"HIGHEST IN THE ROOM","Travis Scott",25215,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
57,"THE SCOTTS","THE SCOTTS",25185,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
58,"Life's A Mess (feat. Halsey)","Juice WRLD",24984,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs
59,"everything i wanted","Billie Eilish",24888,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
60,"Something Special","Pop Smoke",24614,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6
61,Righteous,"Juice WRLD",24605,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm
62,"Kings & Queens","Ava Max",24494,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn
63,"Re$idual $Elf Image",A-Reece,24085,https://open.spotify.com/track/7GCzICGYQ3KiIGlFA968YN
64,"Xola Moya Wam'","Nomcebo Zikode",24058,https://open.spotify.com/track/5f707BCxygGaoXWDUWF6nK
65,cardigan,"Taylor Swift",23979,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd
66,"I Don't Care (with Justin Bieber)","Ed Sheeran",23888,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
67,Robbery,"Juice WRLD",23689,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
68,Señorita,"Shawn Mendes",23634,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
69,goosebumps,"Travis Scott",23560,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
70,Youngblood,"5 Seconds of Summer",23206,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
71,"Sunday Best",Surfaces,22989,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
72,"SICKO MODE","Travis Scott",22923,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
73,Sponono,"Kabza De Small",22818,https://open.spotify.com/track/4SbOJrfNvUuHGGmJ8BeLHU
74,"lovely (with Khalid)","Billie Eilish",22783,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
75,Masupa,"Kabza De Small",22655,https://open.spotify.com/track/5Id1TX4vQxyUc6dapFxMnM
76,"Got It On Me","Pop Smoke",22291,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1
77,Risky,Elaine,21999,https://open.spotify.com/track/76Updb7OaDsoOHuqFbsuYr
78,"Mood (feat. iann dior)",24kGoldn,21885,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
79,"Higher Love",Kygo,21879,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
80,ROXANNE,"Arizona Zervas",21728,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
81,eMcimbini,"Kabza De Small",21341,https://open.spotify.com/track/6HtHuxqzGApzZdJZG1vteB
82,"Ballin' (with Roddy Ricch)",Mustard,21273,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
83,Shallow,"Lady Gaga",21184,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
84,"After Party","Don Toliver",21105,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
85,"Hate The Other Side (with Marshmello & The Kid Laroi)","Juice WRLD",21058,https://open.spotify.com/track/0ada5XsQGLPUVbmTCkAP49
86,"No Guidance (feat. Drake)","Chris Brown",21019,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
87,"Only You Freestyle","Headie One",20845,https://open.spotify.com/track/4OENnoidV0h8gJV6bhrw7r
88,"BELIEVE IT",PARTYNEXTDOOR,20728,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
89,"Rags2Riches 2 (feat. Lil Baby)","Rod Wave",20638,https://open.spotify.com/track/0qJeyYAgv6UpvewUxRXAhb
90,"Ride It",Regard,20620,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
91,"Without Me",Halsey,20498,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
92,"Take You Dancing","Jason Derulo",20204,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
93,"bad guy","Billie Eilish",20138,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
94,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",20005,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
95,"Post Malone (feat. RANI)","Sam Feldt",19934,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
96,"Nobody's Love","Maroon 5",19701,https://open.spotify.com/track/3kwgqoBqTwoAH4nT29TYrq
97,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",19537,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
98,"All Girls Are The Same","Juice WRLD",19187,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
99,"Ke Star",Focalistic,19128,https://open.spotify.com/track/5I4C1yjAWDREGD5JLzqux1
100,Happier,Marshmello,18922,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
101,"Stunnin' (feat. Harm Franklin)","Curtis Waters",18916,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx
102,"Eastside (with Halsey & Khalid)","benny blanco",18907,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
103,"Ubomi Abumanga","Sun-El Musician",18824,https://open.spotify.com/track/1Eum24tziiY0sRBRx7hWBb
104,"Say You Won't Let Go","James Arthur",18765,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
105,"WHATS POPPIN","Jack Harlow",18727,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
106,"Godzilla (feat. Juice WRLD)",Eminem,18700,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
107,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,18449,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
108,"Be Alright","Dean Lewis",18340,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
109,23,"Burna Boy",18322,https://open.spotify.com/track/7EqoATlXAKNwzv45LAlqRt
110,Eazy,"Nasty C",18228,https://open.spotify.com/track/2WxL4qrdtQFs7RJ9hEbyW1
111,"Monsters You Made (feat. Chris Martin)","Burna Boy",18164,https://open.spotify.com/track/2cerDm5EbuTNJ68EIMtrF2
112,"Blue Monday","Vigro Deep",18150,https://open.spotify.com/track/0zZxUj8YqaTyH6pen8RtFD
113,"Electric Love",BØRNS,18055,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
114,"Lose Control",MEDUZA,17963,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
115,"my ex's best friend (with blackbear)","Machine Gun Kelly",17946,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w
116,"Price to Pay","Miss Pru DJ",17942,https://open.spotify.com/track/5aDAwf4fABN9oZ52PDbX2o
117,"In Your Eyes","The Weeknd",17935,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
118,"Tap In",Saweetie,17776,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD
119,"Dancing With A Stranger (with Normani)","Sam Smith",17765,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
120,"Jocelyn Flores",XXXTENTACION,17762,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
121,SAD!,XXXTENTACION,17662,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
122,"hot girl bummer",blackbear,17614,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
123,"Ilog Drum","Kabza De Small",17481,https://open.spotify.com/track/02sxnXoCxbGxs6dPANWOHr
124,GOOBA,6ix9ine,17381,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
125,"Level Up (Twice As Tall) [feat. Youssou N'Dour]","Burna Boy",17207,https://open.spotify.com/track/1djCgiQcqe5JnZS61KYNpD
126,"Call You Mine","The Chainsmokers",17199,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
127,Heather,"Conan Gray",17189,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
128,"So Done (feat. Khalid)","Alicia Keys",17185,https://open.spotify.com/track/3X3TlieuOl8aWzw2HeigUo
129,"I Like Me Better",Lauv,17153,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
130,"Alarm Clock","Burna Boy",17107,https://open.spotify.com/track/2ItiM4zjvjHmQSXruCb9zA
131,"when the party's over","Billie Eilish",17070,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
132,Falling,"Harry Styles",17062,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
133,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",16938,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
134,"Don't Stop Believin'",Journey,16906,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
135,"Know Your Worth",Khalid,16899,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
136,"Bank On It","Burna Boy",16858,https://open.spotify.com/track/7862flGk6U3tiWs2m2aUzH
137,"Real Life (feat. Stormzy)","Burna Boy",16650,https://open.spotify.com/track/3qvZW1bLvAsJIUhYcuvf4F
138,Perfect,"Ed Sheeran",16640,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
139,"Sweet but Psycho","Ava Max",16595,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
140,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)","Mfr Souls",16554,https://open.spotify.com/track/7cVgVA4VO6EaVWvKZGQF9m
141,"GO (feat. Juice WRLD)","The Kid LAROI",16512,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ
142,Wonderful,"Burna Boy",16416,https://open.spotify.com/track/3j9IY1mddSMAUabMYLoox4
143,ALREADY,Beyoncé,16323,https://open.spotify.com/track/6tgEc2O1uFHcZDKPoo6PC8
