,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Mood (feat. iann dior)",24kGoldn,88791,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
2,"WAP (feat. Megan Thee Stallion)","Cardi B",84354,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",83023,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",81418,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
5,"Laugh Now Cry Later (feat. Lil Durk)",Drake,73422,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
6,Uthando,"Soa mattrix",64457,https://open.spotify.com/track/4DIoCdiRMAfDgor0Kj76Nj
7,"Blinding Lights","The Weeknd",64321,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,62743,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
9,"POPSTAR (feat. Drake)","DJ Khaled",61601,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
10,"Xola Moya Wam'","Nomcebo Zikode",61476,https://open.spotify.com/track/0CLyxycXWr4PP7PgeGRn8u
11,"Head & Heart (feat. MNEK)","Joel Corry",60918,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
12,"Mr. Right Now (feat. Drake)","21 Savage",57808,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
13,Runnin,"21 Savage",55186,https://open.spotify.com/track/5SWnsxjhdcEDc7LJjq9UHk
14,"What You Know Bout Love","Pop Smoke",54981,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
15,"Mood Swings (feat. Lil Tjay)","Pop Smoke",54758,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
16,"Go Crazy","Chris Brown",53547,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
17,"Outta Time (feat. Drake)","Bryson Tiller",53240,https://open.spotify.com/track/4SCnCPOUOUXUmCX2uHb3r7
18,"Holy (feat. Chance The Rapper)","Justin Bieber",52816,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
19,"Breaking Me",Topic,52630,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
20,"Roses - Imanbek Remix","SAINt JHN",51378,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
21,"UNGAZINCISHI (feat. Focalistic & Tyler ICU)","Riky Rick",50305,https://open.spotify.com/track/4WCMChQUxMOZBiYZThe2BD
22,"Watermelon Sugar","Harry Styles",49788,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
23,Dynamite,BTS,49495,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
24,"Savage Love (Laxed - Siren Beat)","Jawsh 685",48740,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
25,"you broke me first","Tate McRae",47562,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
26,"Jazzidisciples (Zlele)","Reece Madlisa",46295,https://open.spotify.com/track/7DsqUINZuae9IbmMAQgx6y
27,"Wishing Well","Juice WRLD",44605,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
28,"Someone You Loved","Lewis Capaldi",43701,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
29,Wonder,"Shawn Mendes",43244,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
30,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)","Mfr Souls",41957,https://open.spotify.com/track/7cVgVA4VO6EaVWvKZGQF9m
31,"Jerusalema (feat. Nomcebo Zikode)","Master KG",41788,https://open.spotify.com/track/2MlOUXmcofMackX3bxfSwi
32,"FRANCHISE (feat. Young Thug & M.I.A.)","Travis Scott",41703,https://open.spotify.com/track/4jVBIpuOiMj1crqd8LoCrJ
33,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",41591,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
34,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",41557,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
35,"Come & Go (with Marshmello)","Juice WRLD",40972,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
36,"GREECE (feat. Drake)","DJ Khaled",40278,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
37,Dior,"Pop Smoke",39765,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
38,"Glock In My Lap","21 Savage",39185,https://open.spotify.com/track/6pcywuOeGGWeOQzdUyti6k
39,"Take You Dancing","Jason Derulo",37767,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
40,"Stuck On You",Giveon,36601,https://open.spotify.com/track/08HPWLi0YmRUStJzkQ1ffh
41,"Dance Monkey","Tones And I",35720,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
42,"Rich Nigga Shit (feat. Young Thug)","21 Savage",35608,https://open.spotify.com/track/3ruoIF2UnoXdzK8mR61ebq
43,"Blueberry Faygo","Lil Mosey",34792,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
44,Memories,"Maroon 5",33930,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
45,"Be Kind (with Halsey)",Marshmello,33656,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
46,Heather,"Conan Gray",32816,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
47,"Always Forever","Bryson Tiller",32640,https://open.spotify.com/track/1LV5cAo02H8h5YlZNcjULM
48,"Bella Ciao","Tyler ICU",32348,https://open.spotify.com/track/1gu8xPM3tPyIqKFHxSS6Dv
49,"Beautiful People (feat. Khalid)","Ed Sheeran",32324,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
50,Circles,"Post Malone",31139,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
51,"Intentions (feat. Quavo)","Justin Bieber",30977,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
52,Inhale,"Bryson Tiller",30684,https://open.spotify.com/track/0ycIrEpkyb4lrqE7M1emju
53,Slidin,"21 Savage",30481,https://open.spotify.com/track/7fxSLnklnayJNBIKntXedZ
54,"Put Your Records On","Ritt Momney",30433,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
55,"Years Go By","Bryson Tiller",30409,https://open.spotify.com/track/4SVTus5gJc5cfkFZ8ELK1p
56,"The Box","Roddy Ricch",30306,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
57,"Smile (with The Weeknd)","Juice WRLD",30050,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
58,"Toosie Slide",Drake,29914,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
59,"Ke Star",Focalistic,29673,https://open.spotify.com/track/5I4C1yjAWDREGD5JLzqux1
60,"death bed (coffee for your head)",Powfu,29204,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
