,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",89544,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
2,"Mood (feat. iann dior)",24kGoldn,86739,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",80032,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
4,"WAP (feat. Megan Thee Stallion)","Cardi B",77063,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
5,Uthando,"Soa mattrix",74012,https://open.spotify.com/track/4DIoCdiRMAfDgor0Kj76Nj
6,"Laugh Now Cry Later (feat. Lil Durk)",Drake,71119,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
7,"Blinding Lights","The Weeknd",64841,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
8,"What You Know Bout Love","Pop Smoke",64307,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
9,"Head & Heart (feat. MNEK)","Joel Corry",62092,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
10,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,61819,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
11,"POPSTAR (feat. Drake)","DJ Khaled",59698,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
12,"Xola Moya Wam'","Nomcebo Zikode",57925,https://open.spotify.com/track/0CLyxycXWr4PP7PgeGRn8u
13,"Mood Swings (feat. Lil Tjay)","Pop Smoke",54671,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
14,"Go Crazy","Chris Brown",51481,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
15,"Savage Love (Laxed - Siren Beat)","Jawsh 685",51292,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
16,"Breaking Me",Topic,50643,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
17,"Watermelon Sugar","Harry Styles",50091,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
18,"Roses - Imanbek Remix","SAINt JHN",49364,https://open.spotify.com/track/2Wo6QQD1KMDWeFkkjLqwx5
19,"Holy (feat. Chance The Rapper)","Justin Bieber",49063,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
