,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",88327,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
2,"Therefore I Am","Billie Eilish",80801,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
3,"Mood (feat. iann dior)",24kGoldn,80416,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
4,positions,"Ariana Grande",70833,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
5,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",61981,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
6,"Head & Heart (feat. MNEK)","Joel Corry",61911,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
7,Dynamite,BTS,61673,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
8,"What You Know Bout Love","Pop Smoke",60201,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
9,"Blinding Lights","The Weeknd",59825,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
10,Uthando,"Soa Mattrix",54928,https://open.spotify.com/track/5IvqTpprgCdj6dcw588MPZ
11,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",54759,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
12,"Laugh Now Cry Later (feat. Lil Durk)",Drake,53981,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
13,"Holy (feat. Chance The Rapper)","Justin Bieber",53049,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
14,"WAP (feat. Megan Thee Stallion)","Cardi B",52341,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
15,"Life Goes On",BTS,49797,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,49192,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"you broke me first","Tate McRae",48432,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
18,"The Business",Tiësto,48016,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
19,"Watermelon Sugar","Harry Styles",45578,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
20,"Lonely (with benny blanco)","Justin Bieber",44494,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
21,"Breaking Me",Topic,43959,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
22,HOLIDAY,"Lil Nas X",43937,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
23,"Someone You Loved","Lewis Capaldi",43254,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
24,pov,"Ariana Grande",42135,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
25,"Mood Swings (feat. Lil Tjay)","Pop Smoke",41982,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
26,"POPSTAR (feat. Drake)","DJ Khaled",41711,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
27,"John Vuli Gate (feat. Ntosh Gazi & Colano)","Mapara A Jazz",41455,https://open.spotify.com/track/5JiC9aVRdEaEylSPhs9SXC
28,"Roses - Imanbek Remix","SAINt JHN",39444,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
29,"Take You Dancing","Jason Derulo",39183,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
30,"Wishing Well","Juice WRLD",38763,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
