,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,85307,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Blinding Lights","The Weeknd",70018,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Toosie Slide",Drake,62093,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
4,"Roses - Imanbek Remix","SAINt JHN",58967,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"The Box","Roddy Ricch",48787,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"Blueberry Faygo","Lil Mosey",47922,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
7,"Savage Love (Laxed - Siren Beat)","Jawsh 685",47865,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
8,"THE SCOTTS","THE SCOTTS",47258,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
9,"Party Girl",StaySolidRocky,45672,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
10,"Chicago Freestyle (feat. Giveon)",Drake,45158,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
11,"Go Crazy","Chris Brown",44665,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
12,"Dance Monkey","Tones And I",43852,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Someone You Loved","Lewis Capaldi",42261,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
14,"Life Is Good (feat. Drake)",Future,41190,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
15,"Watermelon Sugar","Harry Styles",40490,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
16,"Intentions (feat. Quavo)","Justin Bieber",39629,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
17,"Don't Start Now","Dua Lipa",39323,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
18,"death bed (coffee for your head)",Powfu,38978,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,Circles,"Post Malone",38904,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
20,"Breaking Me",Topic,36854,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
21,Sponono,"Kabza De Small",36388,https://open.spotify.com/track/6V06P7LboO5FaYi13nQANw
22,Falling,"Trevor Daniel",36284,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
23,"You're the One",Elaine,35562,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
24,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",34952,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
25,"Beautiful People (feat. Khalid)","Ed Sheeran",34663,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
26,Memories,"Maroon 5",34490,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,"Stuck with U (with Justin Bieber)","Ariana Grande",34116,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
28,"Know My Rights (feat. Lil Baby)",6LACK,33615,https://open.spotify.com/track/7fsNNSLGG8Wi0nFbufCU6L
29,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",32719,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
30,"Be Kind (with Halsey)",Marshmello,31770,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
31,"Before You Go","Lewis Capaldi",31755,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
32,"Rain On Me (with Ariana Grande)","Lady Gaga",31593,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
33,"WHATS POPPIN","Jack Harlow",31118,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
34,"everything i wanted","Billie Eilish",31110,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
35,"HIGHEST IN THE ROOM","Travis Scott",30906,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
36,"Sunday Best",Surfaces,29083,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
37,"Break My Heart","Dua Lipa",29003,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
38,"ily (i love you baby) (feat. Emilee)","Surf Mesa",28581,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
39,goosebumps,"Travis Scott",28408,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
40,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",27788,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
41,Señorita,"Shawn Mendes",27188,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
42,GOOBA,6ix9ine,27034,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
43,"Lose Somebody",Kygo,26544,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
44,"After Party","Don Toliver",26322,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
45,ROXANNE,"Arizona Zervas",26081,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
46,"Lucid Dreams","Juice WRLD",25618,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
47,"I Don't Care (with Justin Bieber)","Ed Sheeran",25609,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
48,"SICKO MODE","Travis Scott",25433,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
49,Eazy,"Nasty C",25399,https://open.spotify.com/track/2WxL4qrdtQFs7RJ9hEbyW1
50,Righteous,"Juice WRLD",25078,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
51,"Godzilla (feat. Juice WRLD)",Eminem,24758,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
52,"eMcimbini - Live","Kabza De Small",24635,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
