,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",85376,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Blinding Lights","The Weeknd",70959,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
3,"Dance Monkey","Tones And I",69815,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,"eMcimbini - Live","Kabza De Small",62086,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
5,"Intentions (feat. Quavo)","Justin Bieber",59019,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
6,"Don't Start Now","Dua Lipa",58895,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
7,"Life Is Good (feat. Drake)",Future,58647,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
8,Circles,"Post Malone",51014,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
9,"Godzilla (feat. Juice WRLD)",Eminem,47139,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
10,Memories,"Maroon 5",44725,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
11,Falling,"Trevor Daniel",43630,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,"You're the One",Elaine,42742,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
13,"everything i wanted","Billie Eilish",42422,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
14,"Roses - Imanbek Remix","SAINt JHN",41423,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
15,ROXANNE,"Arizona Zervas",40739,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
16,"Say So","Doja Cat",40369,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
17,"Someone You Loved","Lewis Capaldi",40051,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
18,Yummy,"Justin Bieber",38525,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
19,"Beautiful People (feat. Khalid)","Ed Sheeran",38188,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
20,"I Don't Care (with Justin Bieber)","Ed Sheeran",36950,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
21,"B.S. (feat. H.E.R.)","Jhené Aiko",35763,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
22,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",35701,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
23,"Sunday Best",Surfaces,35204,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
24,"Happiness Over Everything (H.O.E.) (feat. Future & Miguel)","Jhené Aiko",35033,https://open.spotify.com/track/2yUy5eFAFWAichjrySJWA2
25,Lorch,"Kabza De Small",33594,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
26,"Eastside (with Halsey & Khalid)","benny blanco",33198,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
27,"Before You Go","Lewis Capaldi",32972,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
28,"High Fashion (feat. Mustard)","Roddy Ricch",32809,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
29,"Adore You","Harry Styles",32715,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
30,"That Way - Bonus Track","Lil Uzi Vert",32405,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC
31,"No Time To Die","Billie Eilish",31221,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
32,Señorita,"Shawn Mendes",30831,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
33,"Blueberry Faygo","Lil Mosey",30559,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
34,"Lose Control",MEDUZA,30512,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
