,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,79147,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Toosie Slide",Drake,73094,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
3,"Blinding Lights","The Weeknd",72060,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"THE SCOTTS","THE SCOTTS",68377,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
5,"Roses - Imanbek Remix","SAINt JHN",61372,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,"The Box","Roddy Ricch",54772,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
7,"Blueberry Faygo","Lil Mosey",51765,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
8,"Rain On Me (with Ariana Grande)","Lady Gaga",50445,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu
9,"Life Is Good (feat. Drake)",Future,48898,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
10,ZOL,"Max Hurrell",45764,https://open.spotify.com/track/1XtgF9N4G9xDiYiVfu3cID
11,"death bed (coffee for your head)",Powfu,43747,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
12,"Don't Start Now","Dua Lipa",42623,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
13,Circles,"Post Malone",42560,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
14,"Intentions (feat. Quavo)","Justin Bieber",42448,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
15,"Stuck with U (with Justin Bieber)","Ariana Grande",41364,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
16,Falling,"Trevor Daniel",40875,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
17,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",40573,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
18,"WHATS POPPIN","Jack Harlow",40111,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
19,"Dance Monkey","Tones And I",40012,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"Someone You Loved","Lewis Capaldi",39859,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,"Chicago Freestyle (feat. Giveon)",Drake,38138,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
22,"You're the One",Elaine,37249,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
23,"Go Crazy","Chris Brown",35495,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
24,"Party Girl",StaySolidRocky,35281,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
25,Memories,"Maroon 5",35023,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
26,GOOBA,6ix9ine,34779,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
27,"HIGHEST IN THE ROOM","Travis Scott",33713,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
28,goosebumps,"Travis Scott",33239,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
29,"Beautiful People (feat. Khalid)","Ed Sheeran",32990,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
30,Righteous,"Juice WRLD",32866,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
31,ROXANNE,"Arizona Zervas",32799,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
32,"SICKO MODE","Travis Scott",31991,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
33,"Be Kind (with Halsey)",Marshmello,31984,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
34,"Say So (feat. Nicki Minaj)","Doja Cat",31854,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
35,"everything i wanted","Billie Eilish",31217,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
36,"Sunday Best",Surfaces,31187,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
37,"After Party","Don Toliver",29891,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
38,"If the World Was Ending - feat. Julia Michaels","JP Saxe",28911,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
39,"Godzilla (feat. Juice WRLD)",Eminem,28586,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
40,"Before You Go","Lewis Capaldi",28502,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
41,"ily (i love you baby) (feat. Emilee)","Surf Mesa",27964,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
42,"Break My Heart","Dua Lipa",27847,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
43,"BELIEVE IT",PARTYNEXTDOOR,27084,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
