,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,87923,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
2,"THE SCOTTS","THE SCOTTS",78334,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
3,"Blinding Lights","The Weeknd",74229,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Roses - Imanbek Remix","SAINt JHN",67281,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"The Box","Roddy Ricch",60276,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,59688,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
7,"Blueberry Faygo","Lil Mosey",54354,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
8,"Stuck with U (with Justin Bieber)","Ariana Grande",53954,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
9,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",47996,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
10,"Life Is Good (feat. Drake)",Future,47341,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
11,"Don't Start Now","Dua Lipa",46540,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
12,"Intentions (feat. Quavo)","Justin Bieber",46531,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,Circles,"Post Malone",43688,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
14,"Dance Monkey","Tones And I",43369,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
15,"death bed (coffee for your head)",Powfu,43143,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
16,"Be Kind (with Halsey)",Marshmello,42647,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
17,Falling,"Trevor Daniel",42059,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
18,"WHATS POPPIN","Jack Harlow",39471,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
19,GOOBA,6ix9ine,39331,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
20,"Someone You Loved","Lewis Capaldi",39142,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
21,Righteous,"Juice WRLD",38822,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
22,"Chicago Freestyle (feat. Giveon)",Drake,36857,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
23,"You're the One",Elaine,36063,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
24,"Sunday Best",Surfaces,35851,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
25,Memories,"Maroon 5",35445,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
26,ROXANNE,"Arizona Zervas",35221,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
27,"Say So (feat. Nicki Minaj)","Doja Cat",35099,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
28,"everything i wanted","Billie Eilish",33891,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
29,"Beautiful People (feat. Khalid)","Ed Sheeran",33458,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
30,"Pain 1993 (with Playboi Carti)",Drake,33313,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
31,ZOL,"Max Hurrell",31962,https://open.spotify.com/track/1XtgF9N4G9xDiYiVfu3cID
32,"Say So","Doja Cat",31686,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
33,"HIGHEST IN THE ROOM","Travis Scott",31407,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
34,"BELIEVE IT",PARTYNEXTDOOR,31224,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
35,"SICKO MODE","Travis Scott",31028,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
36,"Godzilla (feat. Juice WRLD)",Eminem,30996,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
37,goosebumps,"Travis Scott",30513,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
38,Supalonely,BENEE,30285,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
39,"Adore You","Harry Styles",30088,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
40,"Break My Heart","Dua Lipa",29376,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
