,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,79722,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
2,"Blinding Lights","The Weeknd",74369,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,73864,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
4,"THE SCOTTS","THE SCOTTS",71416,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
5,"Roses - Imanbek Remix","SAINt JHN",67687,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
6,ZOL,"Max Hurrell",59221,https://open.spotify.com/track/1XtgF9N4G9xDiYiVfu3cID
7,"The Box","Roddy Ricch",57962,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"Life Is Good (feat. Drake)",Future,56399,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
9,"Blueberry Faygo","Lil Mosey",55307,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
10,"Stuck with U (with Justin Bieber)","Ariana Grande",47861,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
11,"Intentions (feat. Quavo)","Justin Bieber",47585,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
12,"Don't Start Now","Dua Lipa",45730,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
13,"death bed (coffee for your head)",Powfu,45213,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
14,Circles,"Post Malone",44151,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",43549,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
16,Falling,"Trevor Daniel",42367,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
17,"Dance Monkey","Tones And I",42343,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
18,"You're the One",Elaine,40102,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
19,"Someone You Loved","Lewis Capaldi",39996,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"WHATS POPPIN","Jack Harlow",38920,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
21,"Chicago Freestyle (feat. Giveon)",Drake,38204,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
22,GOOBA,6ix9ine,37579,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
23,"Say So (feat. Nicki Minaj)","Doja Cat",36671,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
24,"Be Kind (with Halsey)",Marshmello,36178,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
25,"Sunday Best",Surfaces,35798,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
26,Memories,"Maroon 5",35290,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
27,ROXANNE,"Arizona Zervas",35092,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
28,Righteous,"Juice WRLD",33966,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
29,"Beautiful People (feat. Khalid)","Ed Sheeran",33591,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
30,"Adore You","Harry Styles",31107,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
31,"HIGHEST IN THE ROOM","Travis Scott",30825,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
32,"Party Girl",StaySolidRocky,30814,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
33,"everything i wanted","Billie Eilish",30745,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
34,"Break My Heart","Dua Lipa",30739,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
35,goosebumps,"Travis Scott",30612,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
36,"BELIEVE IT",PARTYNEXTDOOR,30382,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
37,"SICKO MODE","Travis Scott",30153,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
38,"After Party","Don Toliver",30091,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
39,"Godzilla (feat. Juice WRLD)",Eminem,29877,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
40,"Lose Somebody",Kygo,29866,https://open.spotify.com/track/7xbWAw3LMgRMn4omR5yVn3
41,"If the World Was Ending - feat. Julia Michaels","JP Saxe",29054,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
42,"Before You Go","Lewis Capaldi",28708,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
43,Supalonely,BENEE,28574,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
44,"ily (i love you baby) (feat. Emilee)","Surf Mesa",27971,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
45,"Solitaires (feat. Travis Scott)",Future,26790,https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF
46,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",26218,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
47,"In Your Eyes","The Weeknd",26205,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
48,"I Don't Care (with Justin Bieber)","Ed Sheeran",26200,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
49,"Breaking Me",Topic,26173,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
50,"hot girl bummer",blackbear,25481,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
51,Señorita,"Shawn Mendes",25214,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
52,"Say So","Doja Cat",24997,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
53,"Boss Bitch","Doja Cat",24671,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
54,"Go Crazy","Chris Brown",24476,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
55,"bad guy","Billie Eilish",24185,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
56,"Pain 1993 (with Playboi Carti)",Drake,24108,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
57,"lovely (with Khalid)","Billie Eilish",24085,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
58,"Ballin' (with Roddy Ricch)",Mustard,24048,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
59,"eMcimbini - Live","Kabza De Small",23692,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
60,"Lucid Dreams","Juice WRLD",23501,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
61,"High Fashion (feat. Mustard)","Roddy Ricch",23286,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
62,"Lose Control",MEDUZA,23118,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
63,Daisies,"Katy Perry",22984,https://open.spotify.com/track/4uqh9bualXNHXXwO2wPorc
64,"Know Your Worth",Khalid,22483,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
65,Youngblood,"5 Seconds of Summer",21974,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
66,Risky,Elaine,21765,https://open.spotify.com/track/4XOcBYsZrR8oa9c97COoYf
67,"Ride It",Regard,21658,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
68,"Will - Remix","Joyner Lucas",21637,https://open.spotify.com/track/6WI33r2QRxyxttn3KH0XkC
69,"Higher Love",Kygo,21467,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
70,Happier,Marshmello,21305,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
71,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",21194,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
72,"Trillionaire (feat. Youngboy Never Broke Again)",Future,21104,https://open.spotify.com/track/740kQ8xwSGloumdiKR5Cwz
73,Savage,"Megan Thee Stallion",21066,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
74,Dior,"Pop Smoke",20169,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
75,"Eastside (with Halsey & Khalid)","benny blanco",19959,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
76,Takeaway,"The Chainsmokers",19858,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
77,"Money In The Grave (Drake ft. Rick Ross)",Drake,19483,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
78,"Play Date","Melanie Martinez",19430,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
79,"Call You Mine","The Chainsmokers",19123,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
80,SAD!,XXXTENTACION,19093,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
81,"10,000 Hours (with Justin Bieber)","Dan + Shay",19016,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
82,Skechers,DripReport,18969,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
83,"I’m Ready (with Demi Lovato)","Sam Smith",18770,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
84,"Jocelyn Flores",XXXTENTACION,18574,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
85,"Never Really Over","Katy Perry",18535,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
86,"No Guidance (feat. Drake)","Chris Brown",18388,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
