,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"The Box","Roddy Ricch",90253,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
2,"Dance Monkey","Tones And I",72898,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
3,"Blinding Lights","The Weeknd",71787,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
4,"Life Is Good (feat. Drake)",Future,64670,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
5,"eMcimbini - Live","Kabza De Small",64600,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
6,"Intentions (feat. Quavo)","Justin Bieber",63292,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"Don't Start Now","Dua Lipa",61793,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
8,"After Hours","The Weeknd",54663,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
9,Circles,"Post Malone",54331,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
10,"everything i wanted","Billie Eilish",53419,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
11,Falling,"Trevor Daniel",49917,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
12,"Godzilla (feat. Juice WRLD)",Eminem,48082,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
13,Memories,"Maroon 5",46504,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
14,Yummy,"Justin Bieber",46139,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
15,"No Time To Die","Billie Eilish",45673,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
16,"Someone You Loved","Lewis Capaldi",43296,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
17,ROXANNE,"Arizona Zervas",42305,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
18,"Beautiful People (feat. Khalid)","Ed Sheeran",39873,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
19,"You're the One",Elaine,39374,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
20,"I Don't Care (with Justin Bieber)","Ed Sheeran",38249,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
21,"Forever (feat. Post Malone & Clever)","Justin Bieber",36398,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
22,"Lose Control",MEDUZA,36128,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
23,"High Fashion (feat. Mustard)","Roddy Ricch",35013,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
24,"Say So","Doja Cat",33598,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
25,"My Oh My (feat. DaBaby)","Camila Cabello",33308,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
26,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",33284,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
27,"What A Man Gotta Do","Jonas Brothers",32916,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
28,"Before You Go","Lewis Capaldi",32840,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
29,Señorita,"Shawn Mendes",32295,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
30,Lorch,"Kabza De Small",31875,https://open.spotify.com/track/1E8jmVFDwAWbDzsjjniKGO
31,"Adore You","Harry Styles",31788,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
32,"You should be sad",Halsey,31270,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
33,"Eastside (with Halsey & Khalid)","benny blanco",31195,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
34,"Lose You To Love Me","Selena Gomez",30873,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
35,"Roses - Imanbek Remix","SAINt JHN",30616,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
36,"Know Your Worth",Khalid,30457,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
37,"To Die For","Sam Smith",30262,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx
38,"bad guy","Billie Eilish",30191,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
39,"Blueberry Faygo","Lil Mosey",28700,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
40,"Feel Me","Selena Gomez",28610,https://open.spotify.com/track/6XXYdF6pJR1K3wKvuxmu7n
41,"Phoyisa - Live","Kabza De Small",27989,https://open.spotify.com/track/004nEmGTeP5Mus4qXxz3x2
42,Sandton,"Kabza De Small",27779,https://open.spotify.com/track/0ddnry07vtuLzEVK63bw3R
43,"Never Seen the Rain","Tones And I",27610,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
44,"Sunday Best",Surfaces,27494,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
45,"Ride It",Regard,26200,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
46,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",24991,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
47,Rare,"Selena Gomez",24775,https://open.spotify.com/track/7HMmFQsKsljwTw8bS7lu19
48,"Ballin' (with Roddy Ricch)",Mustard,24412,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
49,Suicidal,"YNW Melly",24379,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8
50,Physical,"Dua Lipa",24307,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
51,"Nana Thula","Kabza De Small",23912,https://open.spotify.com/track/4tDBIoqZEnq6715SnqaJS7
52,BOP,DaBaby,23704,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
53,Risky,Elaine,23387,https://open.spotify.com/track/4XOcBYsZrR8oa9c97COoYf
54,"What If I Told You That I Love You","Ali Gatie",23343,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
55,"death bed (coffee for your head)",Powfu,23270,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
56,"hot girl bummer",blackbear,22845,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
57,"Call You Mine","The Chainsmokers",22383,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
58,"Higher Love",Kygo,22032,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
59,"HIGHEST IN THE ROOM","Travis Scott",21955,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
60,Takeaway,"The Chainsmokers",21890,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
61,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)","Mfr Souls",21716,https://open.spotify.com/track/2NbUnaGrjwRuRjZ5EPyOR5
62,"Watermelon Sugar","Harry Styles",21711,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
63,"WHATS POPPIN","Jack Harlow",20972,https://open.spotify.com/track/3Q6F8RByyhRTJpRtZLY3cg
64,"Dancing With A Stranger (with Normani)","Sam Smith",20880,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
65,"How Do You Sleep?","Sam Smith",20776,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
66,"Own It (feat. Ed Sheeran & Burna Boy)",Stormzy,20682,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR
67,"lovely (with Khalid)","Billie Eilish",20358,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
68,Happier,Marshmello,20280,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
69,"Never Really Over","Katy Perry",20232,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
70,"You Need To Calm Down","Taylor Swift",20156,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
71,"10,000 Hours (with Justin Bieber)","Dan + Shay",20111,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
72,"when the party's over","Billie Eilish",20098,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
73,Shallow,"Lady Gaga",20033,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
74,"No Guidance (feat. Drake)","Chris Brown",20019,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
75,"Trampoline (with ZAYN)",SHAED,20007,https://open.spotify.com/track/2ez6qvOTHKeI3ss80NGqnI
76,Youngblood,"5 Seconds of Summer",19672,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
77,"I Like Me Better",Lauv,19535,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
78,"ON (Feat. Sia)",BTS,18885,https://open.spotify.com/track/3IB5qOeMayvpOdHxYCL5tZ
79,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",18879,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
80,Akulaleki,"Samthing Soweto",18689,https://open.spotify.com/track/73wcFiFeCQurmHDQIcirbm
81,"Rescue Me",OneRepublic,18543,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
82,ON,BTS,18333,https://open.spotify.com/track/2QyuXBcV1LJ2rq01KhreMF
83,"No Idea","Don Toliver",18002,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu
84,Mthande,"Mas Music",17844,https://open.spotify.com/track/7uWjJqLMacCGJtP5K99nmn
85,"Money In The Grave (Drake ft. Rick Ross)",Drake,17802,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
86,"If the World Was Ending - feat. Julia Michaels","JP Saxe",17793,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
87,Sucker,"Jonas Brothers",17746,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
88,"Without Me",Halsey,17515,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
89,"Goodbyes (Feat. Young Thug)","Post Malone",17224,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
90,"Old Me","5 Seconds of Summer",17125,https://open.spotify.com/track/5RUUkFNqH3GRKHg1xjprOb
91,"Sweet but Psycho","Ava Max",16916,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
92,"Lucid Dreams","Juice WRLD",16892,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
93,"Old Town Road - Remix","Lil Nas X",16769,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
94,"If I Can't Have You","Shawn Mendes",16625,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
95,"Still Be Friends (feat. Tory Lanez & Tyga)",G-Eazy,16581,https://open.spotify.com/track/0JjM9bKm4wrwohMslcm892
96,"Modern Loneliness",Lauv,16540,https://open.spotify.com/track/7MZF7YLxOP2to9iblSulLc
97,2002,Anne-Marie,16384,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
98,Woah,"Lil Baby",16332,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
99,Qoqoqo,"Kabza De Small",16267,https://open.spotify.com/track/7idAdotBN9swD9VzJSLioG
100,Better,Khalid,16256,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
101,Dior,"Pop Smoke",16073,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
102,"Alone, Pt. II","Alan Walker",15844,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3
103,"OUT WEST (feat. Young Thug)",JACKBOYS,15636,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
104,"me & ur ghost",blackbear,15612,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440
105,"Piece Of Your Heart",MEDUZA,15544,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
106,"3 Nights","Dominic Fike",15304,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
107,"No Judgement","Niall Horan",15285,https://open.spotify.com/track/5IUOU5xkzGHsRFOYNu3GSK
108,"ocean eyes","Billie Eilish",15246,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
109,SUGAR,BROCKHAMPTON,15245,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA
110,Bruises,"Lewis Capaldi",15134,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
111,"Friends With Benefits - Umjolo","Luu Nineleven",15088,https://open.spotify.com/track/2XVUSu7mzf0WsWdNdyboZP
112,Wow.,"Post Malone",14955,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
113,"Post Malone (feat. RANI)","Sam Feldt",14888,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
114,"MIDDLE CHILD","J. Cole",14853,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
115,Heartless,"The Weeknd",14758,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU
116,"SOS (feat. Aloe Blacc)",Avicii,14715,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
117,"Good as Hell (feat. Ariana Grande)",Lizzo,14693,https://open.spotify.com/track/2rjjNUYONZqC7wSd1i6OFq
118,"Hello - Live","Kabza De Small",14671,https://open.spotify.com/track/6GoWV2xaRM5zW5ipsMtaeq
119,"Hate Me (with Juice WRLD)","Ellie Goulding",14644,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
120,"Say You Won't Let Go","James Arthur",14623,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
121,"Don't Stop Believin'",Journey,14572,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
122,"7 rings","Ariana Grande",14454,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
123,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",14384,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
124,"fuck, i'm lonely",Lauv,14377,https://open.spotify.com/track/3Hig6FDiszzWDPIKSP9swE
125,"i'm so tired...",Lauv,14340,https://open.spotify.com/track/58GV8DCjojFSplLejcHIYu
