,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,81654,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Blinding Lights","The Weeknd",68844,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Toosie Slide",Drake,63377,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
4,"Roses - Imanbek Remix","SAINt JHN",59104,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"The Box","Roddy Ricch",48882,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,"THE SCOTTS","THE SCOTTS",48452,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
7,"Blueberry Faygo","Lil Mosey",47560,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
8,"Party Girl",StaySolidRocky,45520,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
9,"Chicago Freestyle (feat. Giveon)",Drake,44529,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
10,"Life Is Good (feat. Drake)",Future,43578,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
11,"Go Crazy","Chris Brown",42656,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
12,"Dance Monkey","Tones And I",41739,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Intentions (feat. Quavo)","Justin Bieber",41555,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
14,"Someone You Loved","Lewis Capaldi",41429,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,"Don't Start Now","Dua Lipa",39947,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
16,"death bed (coffee for your head)",Powfu,39258,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,Circles,"Post Malone",38879,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"Watermelon Sugar","Harry Styles",38146,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
19,"WHATS POPPIN","Jack Harlow",36764,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
20,Falling,"Trevor Daniel",36485,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
21,"Savage Love (Laxed - Siren Beat)","Jawsh 685",35805,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
22,"You're the One",Elaine,35651,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
23,"Stuck with U (with Justin Bieber)","Ariana Grande",35011,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
24,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",34850,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
25,Memories,"Maroon 5",34806,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
26,"Beautiful People (feat. Khalid)","Ed Sheeran",34399,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
27,"Breaking Me",Topic,33767,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
28,"Rain On Me (with Ariana Grande)","Lady Gaga",32671,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
