,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"THE SCOTTS","THE SCOTTS",119787,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
2,"Toosie Slide",Drake,82052,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
3,"Blinding Lights","The Weeknd",72946,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Roses - Imanbek Remix","SAINt JHN",65739,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"The Box","Roddy Ricch",61926,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
6,goosebumps,"Travis Scott",54345,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
7,"SICKO MODE","Travis Scott",52718,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
8,"Blueberry Faygo","Lil Mosey",52615,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"HIGHEST IN THE ROOM","Travis Scott",47075,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
10,Righteous,"Juice WRLD",46141,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
11,"Don't Start Now","Dua Lipa",45296,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
12,"Dance Monkey","Tones And I",44522,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
13,"Life Is Good (feat. Drake)",Future,43583,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
14,Circles,"Post Malone",42615,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,"Intentions (feat. Quavo)","Justin Bieber",41795,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
16,"death bed (coffee for your head)",Powfu,39983,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
17,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,39046,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
18,Falling,"Trevor Daniel",38935,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
19,"Someone You Loved","Lewis Capaldi",38323,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
20,"Say So","Doja Cat",36979,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
21,"WHATS POPPIN","Jack Harlow",36906,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
22,Memories,"Maroon 5",34909,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
23,Savage,"Megan Thee Stallion",34826,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
24,ROXANNE,"Arizona Zervas",34629,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
25,"everything i wanted","Billie Eilish",33504,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
26,"Sunday Best",Surfaces,32978,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
27,"Godzilla (feat. Juice WRLD)",Eminem,32897,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
28,"Beautiful People (feat. Khalid)","Ed Sheeran",31880,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
29,"You're the One",Elaine,30028,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
30,SBCNCSLY,"Black Coffee",29032,https://open.spotify.com/track/4AA1dJbrLXikzLCaishyny
31,"Adore You","Harry Styles",27796,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
32,STARGAZING,"Travis Scott",27147,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
33,"Before You Go","Lewis Capaldi",26799,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
34,"BELIEVE IT",PARTYNEXTDOOR,26630,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
35,"hot girl bummer",blackbear,25919,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
36,"In Your Eyes","The Weeknd",25870,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
37,"If the World Was Ending - feat. Julia Michaels","JP Saxe",25835,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
38,"I’m Ready (with Demi Lovato)","Sam Smith",25517,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
39,"eMcimbini - Live","Kabza De Small",25470,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
40,"I Don't Care (with Justin Bieber)","Ed Sheeran",25173,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
41,"Boss Bitch","Doja Cat",24587,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
42,Señorita,"Shawn Mendes",24400,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
43,"High Fashion (feat. Mustard)","Roddy Ricch",24270,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
44,Supalonely,BENEE,24077,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
45,"Know Your Worth",Khalid,23873,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
46,"bad guy","Billie Eilish",23707,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
47,"Lose Control",MEDUZA,23362,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
48,"lovely (with Khalid)","Billie Eilish",23247,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
49,"Break My Heart","Dua Lipa",23209,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
50,Skechers,DripReport,22992,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
51,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",22666,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
52,"Ballin' (with Roddy Ricch)",Mustard,22586,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
53,"Eastside (with Halsey & Khalid)","benny blanco",22138,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
54,"Lucid Dreams","Juice WRLD",21739,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
55,Takeaway,"The Chainsmokers",21541,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
56,"BUTTERFLY EFFECT","Travis Scott",20829,https://open.spotify.com/track/6xcJyGpfZbuuiequtnlKt4
57,"Ride It",Regard,20481,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
58,"Higher Love",Kygo,20291,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
59,Happier,Marshmello,20096,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
60,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",19989,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
61,Youngblood,"5 Seconds of Summer",19770,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
62,Dior,"Pop Smoke",19553,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
63,"Money In The Grave (Drake ft. Rick Ross)",Drake,18796,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
64,Risky,Elaine,18492,https://open.spotify.com/track/4XOcBYsZrR8oa9c97COoYf
65,"Call You Mine","The Chainsmokers",18398,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
66,"10,000 Hours (with Justin Bieber)","Dan + Shay",18157,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
