,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
36,Lose Control,MEDUZA,28069,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,South Africa
37,Ride It,Regard,27811,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,South Africa
38,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,27528,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,South Africa
39,No Idea,Don Toliver,27300,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,12/27/2019,1/3/2020,South Africa
40,Old Town Road - Remix,Lil Nas X,27124,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,South Africa
41,Trampoline,SHAED,27023,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,South Africa
42,BOP,DaBaby,27008,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,12/27/2019,1/3/2020,South Africa
43,Dames,Biggy,26727,https://open.spotify.com/track/72Yg5qdIqpTnXrNPEewglz,12/27/2019,1/3/2020,South Africa
44,Happier,Marshmello,25922,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,12/27/2019,1/3/2020,South Africa
45,Goodbyes (Feat. Young Thug),Post Malone,24977,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,12/27/2019,1/3/2020,South Africa
46,Takeaway,The Chainsmokers,24849,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,12/27/2019,1/3/2020,South Africa
47,Amantombazane,DJ Maphorisa,24534,https://open.spotify.com/track/5TV5x7u5Tnx2i47ccKXVex,12/27/2019,1/3/2020,South Africa
48,Qoqoqo,Kabza De Small,24342,https://open.spotify.com/track/7idAdotBN9swD9VzJSLioG,12/27/2019,1/3/2020,South Africa
49,Adore You,Harry Styles,24338,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,South Africa
