,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,84105,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Toosie Slide",Drake,71472,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
3,"Blinding Lights","The Weeknd",68778,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Roses - Imanbek Remix","SAINt JHN",61049,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"THE SCOTTS","THE SCOTTS",55957,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
6,"The Box","Roddy Ricch",53674,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
7,"Blueberry Faygo","Lil Mosey",50812,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
8,"Life Is Good (feat. Drake)",Future,48381,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
9,"Chicago Freestyle (feat. Giveon)",Drake,44538,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
10,"Dance Monkey","Tones And I",43860,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
11,"Don't Start Now","Dua Lipa",43537,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
12,"Intentions (feat. Quavo)","Justin Bieber",43406,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
13,"Party Girl",StaySolidRocky,42660,https://open.spotify.com/track/5RqR4ZCCKJDcBLIn4sih9l
14,"Go Crazy","Chris Brown",42380,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
15,"Someone You Loved","Lewis Capaldi",42117,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
16,"WHATS POPPIN","Jack Harlow",41514,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
17,Circles,"Post Malone",41181,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"death bed (coffee for your head)",Powfu,39588,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
19,Falling,"Trevor Daniel",39386,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
20,"You're the One",Elaine,39127,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
21,"Rain On Me (with Ariana Grande)","Lady Gaga",38059,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
22,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",36848,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
23,"Stuck with U (with Justin Bieber)","Ariana Grande",35733,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
24,Memories,"Maroon 5",35017,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
25,"Beautiful People (feat. Khalid)","Ed Sheeran",34725,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
26,ROXANNE,"Arizona Zervas",33586,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
27,"Watermelon Sugar","Harry Styles",33138,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
28,"everything i wanted","Billie Eilish",33061,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
29,ZOL,"Max Hurrell",32985,https://open.spotify.com/track/1XtgF9N4G9xDiYiVfu3cID
30,"HIGHEST IN THE ROOM","Travis Scott",32315,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
31,"Be Kind (with Halsey)",Marshmello,32255,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
32,"Breaking Me",Topic,31218,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
33,"After Party","Don Toliver",31126,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da
34,"Sunday Best",Surfaces,30630,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
35,goosebumps,"Travis Scott",30320,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
36,GOOBA,6ix9ine,30043,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
37,"BELIEVE IT",PARTYNEXTDOOR,29777,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
38,"ily (i love you baby) (feat. Emilee)","Surf Mesa",29010,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
39,"Before You Go","Lewis Capaldi",28615,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
40,"eMcimbini - Live","Kabza De Small",28493,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
41,"Break My Heart","Dua Lipa",28490,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
42,"SICKO MODE","Travis Scott",28329,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
43,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",27797,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
44,"Godzilla (feat. Juice WRLD)",Eminem,27757,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
45,Righteous,"Juice WRLD",27517,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
46,"I Don't Care (with Justin Bieber)","Ed Sheeran",26368,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
47,"Lose Somebody",Kygo,26219,https://open.spotify.com/track/1sgDyuLooyvEML4oHspNza
48,"They Don't","Nasty C",26125,https://open.spotify.com/track/1gHhVTOVIQKjjBJ6pxCzG6
49,"Ballin' (with Roddy Ricch)",Mustard,26080,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
50,"hot girl bummer",blackbear,26007,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
51,Señorita,"Shawn Mendes",25897,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
52,"If the World Was Ending - feat. Julia Michaels","JP Saxe",24835,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
53,"Lucid Dreams","Juice WRLD",24811,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
54,"lovely (with Khalid)","Billie Eilish",24624,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
55,Risky,Elaine,24309,https://open.spotify.com/track/4XOcBYsZrR8oa9c97COoYf
56,Youngblood,"5 Seconds of Summer",24008,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
57,Dior,"Pop Smoke",23972,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
58,"bad guy","Billie Eilish",23684,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
59,"Say So (feat. Nicki Minaj)","Doja Cat",23598,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
60,"Ubomi Abumanga","Sun-El Musician",23093,https://open.spotify.com/track/1Eum24tziiY0sRBRx7hWBb
61,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",23022,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
62,"Adore You","Harry Styles",22927,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
63,Supalonely,BENEE,22856,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
64,"Higher Love",Kygo,22326,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
65,"Know Your Worth",Khalid,21694,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
66,"High Fashion (feat. Mustard)","Roddy Ricch",21595,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
67,Happier,Marshmello,21200,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
68,"Deep End Freestyle","Sleepy Hallow",20826,https://open.spotify.com/track/2AlYncTpVHKwHb55F9lF6O
69,"In Your Eyes","The Weeknd",20734,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
70,"Say So","Doja Cat",20667,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
71,"No Guidance (feat. Drake)","Chris Brown",20623,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
72,Takeaway,"The Chainsmokers",20614,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
73,SAD!,XXXTENTACION,20095,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
74,"Jocelyn Flores",XXXTENTACION,20012,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
75,"Call You Mine","The Chainsmokers",19970,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
76,"Lose Control",MEDUZA,19873,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
