,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,117964,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
2,"THE SCOTTS","THE SCOTTS",90189,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
3,"Blinding Lights","The Weeknd",75687,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Roses - Imanbek Remix","SAINt JHN",70301,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"Chicago Freestyle (feat. Giveon)",Drake,69715,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
6,"Pain 1993 (with Playboi Carti)",Drake,68574,https://open.spotify.com/track/6Kj17Afjo1OKJYpf5VzCeo
7,"The Box","Roddy Ricch",63609,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
8,"Savage Remix (feat. Beyoncé)","Megan Thee Stallion",57693,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
9,"Blueberry Faygo","Lil Mosey",54078,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
10,"Not You Too (feat. Chris Brown)",Drake,51704,https://open.spotify.com/track/3Q4gttWQ6hxqWOa3tHoTNi
11,"Life Is Good (feat. Drake)",Future,48965,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
12,"Don't Start Now","Dua Lipa",46788,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
13,"Dance Monkey","Tones And I",46441,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Time Flies",Drake,44947,https://open.spotify.com/track/5H4mXWKcicuLKDn4Jy0sK7
15,"Intentions (feat. Quavo)","Justin Bieber",44655,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
16,"Deep Pockets",Drake,44186,https://open.spotify.com/track/3IvMYBE7A3c7to1aEcfFJk
17,Circles,"Post Malone",44089,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
18,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,43958,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
19,Righteous,"Juice WRLD",43326,https://open.spotify.com/track/0OyQns5ayNK2OVaES0Vb8t
20,D4L,Future,43267,https://open.spotify.com/track/5fHrHoJKfCgBd35zwIBmUK
21,"Desires (with Future)",Drake,42557,https://open.spotify.com/track/7eYAHC0RbBF9eaqWzT34Aq
22,"death bed (coffee for your head)",Powfu,42049,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
23,Landed,Drake,41656,https://open.spotify.com/track/3KixNgUEaDtrKJVzdqjU5q
24,"When To Say When",Drake,41549,https://open.spotify.com/track/5TCBWmEBrin7etRa4Lswr1
25,Falling,"Trevor Daniel",41546,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
26,"Someone You Loved","Lewis Capaldi",39515,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
27,Losses,Drake,39191,https://open.spotify.com/track/6fLVTVaHWaEfVKfEgbkf4D
28,"WHATS POPPIN","Jack Harlow",38921,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
29,"Demons (feat. Fivio Foreign & Sosa Geek)",Drake,38833,https://open.spotify.com/track/05aZ9sAU1YXndHv0FMi9iW
30,"You're the One",Elaine,36872,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
31,ROXANNE,"Arizona Zervas",35809,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
32,"From Florida With Love",Drake,35594,https://open.spotify.com/track/0YkUwXxnTkeJBvt5upeEtP
33,goosebumps,"Travis Scott",35579,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
34,"SICKO MODE","Travis Scott",35544,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
35,Memories,"Maroon 5",35421,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
36,"Sunday Best",Surfaces,35095,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
37,"Say So","Doja Cat",35038,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
38,"Be Kind (with Halsey)",Marshmello,35033,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
39,"Godzilla (feat. Juice WRLD)",Eminem,34483,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
40,"everything i wanted","Billie Eilish",34240,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
41,"HIGHEST IN THE ROOM","Travis Scott",34228,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
42,War,Drake,34010,https://open.spotify.com/track/1I55Ea0zVoSKs6MqW7DQ3i
43,"Beautiful People (feat. Khalid)","Ed Sheeran",33090,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
44,"Adore You","Harry Styles",29914,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
45,"BELIEVE IT",PARTYNEXTDOOR,29326,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
46,"Say So (feat. Nicki Minaj)","Doja Cat",28604,https://open.spotify.com/track/11VApNQCWLJdzxWrlmwzUa
47,"If the World Was Ending - feat. Julia Michaels","JP Saxe",28055,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
48,"eMcimbini - Live","Kabza De Small",27804,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
49,"Before You Go","Lewis Capaldi",27530,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
50,"Break My Heart","Dua Lipa",26523,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
51,"In Your Eyes","The Weeknd",26399,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
52,"Know Your Worth",Khalid,26132,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
53,Savage,"Megan Thee Stallion",25886,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
54,"hot girl bummer",blackbear,25813,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
55,Supalonely,BENEE,25624,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
