,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"POPSTAR (feat. Drake)","DJ Khaled",88130,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
2,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,87231,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
3,"Blinding Lights","The Weeknd",68128,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Come & Go (with Marshmello)","Juice WRLD",67270,https://open.spotify.com/track/7y7w4tl4MaRC2UMEj1mPtr
5,"Wishing Well","Juice WRLD",60752,https://open.spotify.com/track/6o3QUC5oAE4g6WxRIFcZtb
6,"Savage Love (Laxed - Siren Beat)","Jawsh 685",58656,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
7,"Go Crazy","Chris Brown",58229,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
8,"Roses - Imanbek Remix","SAINt JHN",57151,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
9,"GREECE (feat. Drake)","DJ Khaled",55952,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
10,"Toosie Slide",Drake,50445,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
11,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",48632,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
12,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",48397,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
13,"Blueberry Faygo","Lil Mosey",47953,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
14,"Life's A Mess (feat. Halsey)","Juice WRLD",47698,https://open.spotify.com/track/4h5N4KyWZMtpeH9vhXSXjd
15,"Breaking Me",Topic,46485,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
16,"Watermelon Sugar","Harry Styles",44816,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
17,"Chicago Freestyle (feat. Giveon)",Drake,43340,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
18,"Someone You Loved","Lewis Capaldi",42499,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
19,"Dance Monkey","Tones And I",40919,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
20,"The Box","Roddy Ricch",40724,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
21,Righteous,"Juice WRLD",40654,https://open.spotify.com/track/615vw74T1NebV8pKoutm2J
22,"Party Girl (Remix)",StaySolidRocky,40031,https://open.spotify.com/track/1eIsyfDHoEbemSnQFsgyAv
23,"Intentions (feat. Quavo)","Justin Bieber",39053,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
24,Dior,"Pop Smoke",38947,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
25,"Life Is Good (feat. Drake)",Future,38777,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
