,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Toosie Slide",Drake,99608,https://open.spotify.com/track/127QTOFJsJQp5LbJbu3A1y
2,"Blinding Lights","The Weeknd",81590,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Roses - Imanbek Remix","SAINt JHN",76106,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"The Box","Roddy Ricch",67774,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
5,"Blueberry Faygo","Lil Mosey",59826,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
6,"Don't Start Now","Dua Lipa",55610,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
7,"Dance Monkey","Tones And I",52685,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
8,"Intentions (feat. Quavo)","Justin Bieber",48215,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
9,"Life Is Good (feat. Drake)",Future,47769,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
10,Circles,"Post Malone",47213,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,"death bed (coffee for your head)",Powfu,45678,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
12,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,45252,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
13,Falling,"Trevor Daniel",44192,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
14,"Someone You Loved","Lewis Capaldi",41605,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
15,"WHATS POPPIN","Jack Harlow",39960,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
16,"Say So","Doja Cat",39694,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
17,Memories,"Maroon 5",38748,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
18,Savage,"Megan Thee Stallion",38393,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
19,ROXANNE,"Arizona Zervas",38370,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
20,"Sunday Best",Surfaces,37679,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
21,"everything i wanted","Billie Eilish",37245,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
22,"Godzilla (feat. Juice WRLD)",Eminem,37076,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
23,"Beautiful People (feat. Khalid)","Ed Sheeran",35168,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
24,"@ MEH","Playboi Carti",34866,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe
25,"You're the One",Elaine,33156,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
26,"I’m Ready (with Demi Lovato)","Sam Smith",31437,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
27,"In Your Eyes","The Weeknd",30541,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
28,"Adore You","Harry Styles",30103,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
29,"BELIEVE IT",PARTYNEXTDOOR,29111,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
30,"Before You Go","Lewis Capaldi",28543,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
31,"hot girl bummer",blackbear,28493,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
32,"eMcimbini - Live","Kabza De Small",28401,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
33,"I Don't Care (with Justin Bieber)","Ed Sheeran",28192,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
34,"Lose Control",MEDUZA,27757,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
35,Señorita,"Shawn Mendes",27611,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
36,"HIGHEST IN THE ROOM","Travis Scott",27568,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
37,Skechers,DripReport,27479,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
