,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",90779,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
2,"Mood (feat. iann dior)",24kGoldn,81727,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Blinding Lights","The Weeknd",74921,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
4,"Therefore I Am","Billie Eilish",67096,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
5,Uthando,"Soa Mattrix",66714,https://open.spotify.com/track/5IvqTpprgCdj6dcw588MPZ
6,positions,"Ariana Grande",65657,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
7,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",65317,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
8,"Head & Heart (feat. MNEK)","Joel Corry",62337,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
9,"What You Know Bout Love","Pop Smoke",60063,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
10,HOLIDAY,"Lil Nas X",59131,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
11,"Laugh Now Cry Later (feat. Lil Durk)",Drake,56243,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
12,"The Business",Tiësto,53716,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
13,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,53403,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
14,"WAP (feat. Megan Thee Stallion)","Cardi B",49528,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
15,"John Vuli Gate (feat. Ntosh Gazi & Colano)","Mapara A Jazz",48558,https://open.spotify.com/track/5JiC9aVRdEaEylSPhs9SXC
16,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",47951,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
17,Dynamite,BTS,47839,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
18,"Watermelon Sugar","Harry Styles",47769,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
19,"Holy (feat. Chance The Rapper)","Justin Bieber",46979,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
20,"you broke me first","Tate McRae",46931,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
21,Dinaledi,"Major League Djz",45483,https://open.spotify.com/track/0kNOuZYnpu1RiQTWXUUzE8
22,"Mood Swings (feat. Lil Tjay)","Pop Smoke",45158,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
23,"Jazzidisciples (Zlele)","Reece Madlisa",45150,https://open.spotify.com/track/7DsqUINZuae9IbmMAQgx6y
24,"Breaking Me",Topic,44623,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
25,"Someone You Loved","Lewis Capaldi",43084,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,"Wishing Well","Juice WRLD",42833,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
27,Ulazi,"Mr JazziQ",42724,https://open.spotify.com/track/4KHNX2uuE1USVfokLMjlry
28,"Roses - Imanbek Remix","SAINt JHN",42383,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
29,"Sithi Sithi","Reece Madlisa",42137,https://open.spotify.com/track/10sQHZ1h3LYoNGGMDSDx49
30,"Bella Ciao","Tyler ICU",41500,https://open.spotify.com/track/3am2BKue6ewiBUxjkPEAQd
31,Dior,"Pop Smoke",41027,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
32,"POPSTAR (feat. Drake)","DJ Khaled",40480,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
33,Vsop,"Mr JazziQ",39808,https://open.spotify.com/track/2jLwKWTyxexSxvyDKjXxVk
34,"Lonely (with benny blanco)","Justin Bieber",39494,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
35,34+35,"Ariana Grande",38818,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
36,"Go Crazy","Chris Brown",38681,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
37,"Take You Dancing","Jason Derulo",38095,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
38,"Mali Eningi","Big Zulu",37959,https://open.spotify.com/track/1ORbu4FMNtNn0ZmwaCmiPb
39,pov,"Ariana Grande",37879,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
40,Body,"Megan Thee Stallion",37781,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
41,"Savage Love (Laxed - Siren Beat)","Jawsh 685",37310,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
42,Whoopty,CJ,36976,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
43,"Come & Go (with Marshmello)","Juice WRLD",36276,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
44,"SO DONE","The Kid LAROI",35480,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
45,"Dance Monkey","Tones And I",35342,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
46,"Prisoner (feat. Dua Lipa)","Miley Cyrus",35156,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
47,Wonder,"Shawn Mendes",35114,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
48,"Xola Moya Wam' (feat. Master KG)","Nomcebo Zikode",35057,https://open.spotify.com/track/5cvU0DOYHkzKRJAOmgYrKA
49,"Amanikiniki (feat. Major League Djz, Kamo Mphela & Bontle Smith)","Mfr Souls",33747,https://open.spotify.com/track/7cVgVA4VO6EaVWvKZGQF9m
50,Circles,"Post Malone",33471,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
51,Memories,"Maroon 5",33284,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
52,"Hello (feat. A Boogie Wit da Hoodie)","Pop Smoke",32973,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
53,"The Woo (feat. 50 Cent & Roddy Ricch)","Pop Smoke",32853,https://open.spotify.com/track/1H7KnK26kc1YyellpbINEn
54,"Put Your Records On","Ritt Momney",32221,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
55,"Be Kind (with Halsey)",Marshmello,32041,https://open.spotify.com/track/3Z8FwOEN59mRMxDCtb8N0A
56,"The Box","Roddy Ricch",31788,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
57,"Paradise (feat. Dermot Kennedy)",MEDUZA,31631,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
58,"Beautiful People (feat. Khalid)","Ed Sheeran",31510,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
59,"Blueberry Faygo","Lil Mosey",31285,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
60,Robbery,"Juice WRLD",30964,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
61,"Life Is Good (feat. Drake)",Future,30434,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
62,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","Jack Harlow",29629,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC
63,Onoroko,Focalistic,29524,https://open.spotify.com/track/349y1eajj4WLLlVJfwfknp
64,"Life Goes On",BTS,29335,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
65,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",29293,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
66,"Lucid Dreams","Juice WRLD",29255,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
67,"Tyler Herro","Jack Harlow",29162,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
68,"Before You Go","Lewis Capaldi",29082,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
69,"Levitating (feat. DaBaby)","Dua Lipa",28703,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
70,"HIGHEST IN THE ROOM","Travis Scott",28612,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
71,"GREECE (feat. Drake)","DJ Khaled",28385,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
72,Monate,"Mr JazziQ",28015,https://open.spotify.com/track/7I9PH74yPxXh7mv18A1Qe1
73,"Ke Star",Focalistic,27699,https://open.spotify.com/track/5I4C1yjAWDREGD5JLzqux1
74,"Phone Yam","Alfa Kat",27400,https://open.spotify.com/track/0qYAoUDIO2QHWNWJEy9Vr4
75,"Midnight Sky","Miley Cyrus",27166,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
76,Summeryomuthi,"Blaq Diamond",27050,https://open.spotify.com/track/3pLUJWBRx9PBdphuNxn3Ka
77,"All Girls Are The Same","Juice WRLD",26975,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
78,"If the World Was Ending - feat. Julia Michaels","JP Saxe",26908,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
79,"Chicago Freestyle (feat. Giveon)",Drake,26606,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B
80,"Don't Start Now","Dua Lipa",26485,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
81,"Toosie Slide",Drake,26349,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
