,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Blinding Lights","The Weeknd",91156,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
2,"The Box","Roddy Ricch",82333,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
3,"Roses - Imanbek Remix","SAINt JHN",79427,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
4,"Don't Start Now","Dua Lipa",67007,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
5,"Dance Monkey","Tones And I",61747,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
6,"Intentions (feat. Quavo)","Justin Bieber",56914,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
7,"BELIEVE IT",PARTYNEXTDOOR,54525,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
8,"Blueberry Faygo","Lil Mosey",51615,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
9,"Life Is Good (feat. Drake)",Future,50112,https://open.spotify.com/track/5yY9lUy8nbvjM1Uyo1Uqoc
10,Circles,"Post Malone",50025,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
11,Falling,"Trevor Daniel",48456,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
12,"death bed (coffee for your head)",Powfu,43613,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
13,"Say So","Doja Cat",43441,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
14,Memories,"Maroon 5",43227,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
15,ROXANNE,"Arizona Zervas",42544,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
16,"Godzilla (feat. Juice WRLD)",Eminem,42013,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
17,"In Your Eyes","The Weeknd",40956,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
18,"Sunday Best",Surfaces,40766,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
19,"everything i wanted","Billie Eilish",39968,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
20,"Beautiful People (feat. Khalid)","Ed Sheeran",38816,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
21,"eMcimbini - Live","Kabza De Small",38707,https://open.spotify.com/track/2YXf32CaC2PzXIgmRb2GK2
22,"Someone You Loved","Lewis Capaldi",37291,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
23,"There They Go","Nasty C",37132,https://open.spotify.com/track/7tZ6iUkIibysZmPXA0yLq7
24,"Break My Heart","Dua Lipa",35766,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
25,"I Don't Care (with Justin Bieber)","Ed Sheeran",35107,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
26,"Adore You","Harry Styles",33594,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
27,"WHATS POPPIN","Jack Harlow",33364,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM
28,"High Fashion (feat. Mustard)","Roddy Ricch",33313,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
29,"After Hours","The Weeknd",33118,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag
30,Savage,"Megan Thee Stallion",32943,https://open.spotify.com/track/55CHeLEfn5iJ0IIkgaa4si
31,"You're the One",Elaine,31824,https://open.spotify.com/track/63Pt6QnepIcsPITzyvvOEt
32,"Before You Go","Lewis Capaldi",29407,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
33,Skechers,DripReport,29258,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu
34,"Lose Control",MEDUZA,29159,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK
35,Takeaway,"The Chainsmokers",28917,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw
36,Supalonely,BENEE,28435,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
37,Señorita,"Shawn Mendes",28396,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
38,"bad guy","Billie Eilish",27944,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
39,Physical,"Dua Lipa",27873,https://open.spotify.com/track/3AzjcOeAmA57TIOr9zF1ZW
40,Yummy,"Justin Bieber",27640,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
41,"hot girl bummer",blackbear,27459,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
42,"Turks (feat. Travis Scott)",NAV,26346,https://open.spotify.com/track/0lSZh5W0wDeurkGzLYY6hf
43,"Higher Love",Kygo,26061,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
44,"Know Your Worth",Khalid,25860,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
45,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",25378,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
46,"Eastside (with Halsey & Khalid)","benny blanco",24999,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
47,"My Oh My (feat. DaBaby)","Camila Cabello",24891,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K
48,"lovely (with Khalid)","Billie Eilish",23981,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
49,Heartless,"The Weeknd",23450,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8
50,"Boss Bitch","Doja Cat",23445,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k
51,"Ballin' (with Roddy Ricch)",Mustard,23142,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
52,"Never Seen the Rain","Tones And I",22969,https://open.spotify.com/track/2grAr8pWMuLWn8ZYEE9wDV
53,"If the World Was Ending - feat. Julia Michaels","JP Saxe",22855,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
54,"Never Really Over","Katy Perry",22681,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
55,"Ride It",Regard,22374,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
56,Happier,Marshmello,22310,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
57,"What A Man Gotta Do","Jonas Brothers",22205,https://open.spotify.com/track/4wNIkl5XGiAACjFBlDWuSd
58,"Lose You To Love Me","Selena Gomez",22187,https://open.spotify.com/track/4l0Mvzj72xxOpRrp6h8nHi
59,"Forever (feat. Post Malone & Clever)","Justin Bieber",21921,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ
60,"You should be sad",Halsey,21861,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK
61,"10,000 Hours (with Justin Bieber)","Dan + Shay",21697,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
62,"Call You Mine","The Chainsmokers",21573,https://open.spotify.com/track/2oejEp50ZzPuQTQ6v54Evp
63,"Lucid Dreams","Juice WRLD",21528,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
64,"Tender Love (feat. DJ Maphorisa & Kabza De Small)","Sha Sha",21388,https://open.spotify.com/track/7ckWQdFniRR7CNsIA1VIML
65,"Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake)","Lil Yachty",21217,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn
66,"Like It Is",Kygo,21115,https://open.spotify.com/track/3frUvGrmGcay91lvFbOgsN
67,"CITY OF ANGELS",24kGoldn,20998,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq
68,"B.S. (feat. H.E.R.)","Jhené Aiko",20867,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ
69,"LOYAL (feat. Drake)",PARTYNEXTDOOR,20653,https://open.spotify.com/track/3LnJM1B5Mjgx5LfT9plXUU
70,BOP,DaBaby,20300,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
71,"Rescue Me",OneRepublic,20098,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
72,"Money In The Grave (Drake ft. Rick Ross)",Drake,19881,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
73,Youngblood,"5 Seconds of Summer",19807,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
74,Risky,Elaine,19759,https://open.spotify.com/track/4XOcBYsZrR8oa9c97COoYf
75,"No Time To Die","Billie Eilish",19550,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
76,"HIGHEST IN THE ROOM","Travis Scott",19085,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
77,"Walk Em Down (feat. Roddy Ricch)","NLE Choppa",18980,https://open.spotify.com/track/4cSSL3YafYjM3yjgFO1vJg
78,"What If I Told You That I Love You","Ali Gatie",18882,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi
