,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
43,Te Quemaste,Manuel Turizo,539791,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC,12/27/2019,1/3/2020,Chile
44,La Cama,Lunay,535025,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1,12/27/2019,1/3/2020,Chile
45,Señorita,Shawn Mendes,535003,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Chile
46,Mírame - Remix,Nio Garcia,533350,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS,12/27/2019,1/3/2020,Chile
47,Algún Día Volveras,Santaferia,506309,https://open.spotify.com/track/27uAea0qcUz3a7jKnAT7KG,12/27/2019,1/3/2020,Chile
48,Pa Mí - Remix,Dalex,505974,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,12/27/2019,1/3/2020,Chile
49,Con Altura,ROSALÍA,499660,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,12/27/2019,1/3/2020,Chile
50,Pa Los Gustos Los Colores,Javiielo,498090,https://open.spotify.com/track/6EWWkqE4aFlZRyoFwwOT8u,12/27/2019,1/3/2020,Chile
51,Uniforme,Rich Music LTD,473992,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc,12/27/2019,1/3/2020,Chile
52,Indeciso,Reik,463479,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14,12/27/2019,1/3/2020,Chile
53,Que Calor (with J Balvin & El Alfa),Major Lazer,461535,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,12/27/2019,1/3/2020,Chile
54,Te Robaré,Nicky Jam,453718,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T,12/27/2019,1/3/2020,Chile
55,Mi Error - Remix,Eladio Carrion,441508,https://open.spotify.com/track/0lbhKycRyqkOMKZ6thzfU4,12/27/2019,1/3/2020,Chile
56,El Gil de Tu Ex,Santaferia,418236,https://open.spotify.com/track/3cUE3p7E39CzGjQoEsg7sM,12/27/2019,1/3/2020,Chile
57,Don't Start Now,Dua Lipa,412540,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Chile
58,Baila Conmigo (feat. Kelly Ruiz),Dayvi,400456,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG,12/27/2019,1/3/2020,Chile
59,El Efecto - Remix,Rauw Alejandro,397279,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv,12/27/2019,1/3/2020,Chile
60,Otro Trago,Sech,389797,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,12/27/2019,1/3/2020,Chile
61,Bellaquita,Dalex,389546,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ,12/27/2019,1/3/2020,Chile
62,Blanco,J Balvin,388795,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc,12/27/2019,1/3/2020,Chile
63,Fantasmita - Remix,Casper Magico,378082,https://open.spotify.com/track/5NOHsDSfLIH45y3i9PfRyh,12/27/2019,1/3/2020,Chile
64,Atrévete,Nicky Jam,376673,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj,12/27/2019,1/3/2020,Chile
65,Música,DJ Luian,373743,https://open.spotify.com/track/4xvTPuwHaXoDM3p0QcY7bH,12/27/2019,1/3/2020,Chile
66,Con Calma,Daddy Yankee,369970,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,12/27/2019,1/3/2020,Chile
67,Calma - Remix,Pedro Capó,366061,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,12/27/2019,1/3/2020,Chile
68,Amanece,Anuel AA,364697,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,12/27/2019,1/3/2020,Chile
69,Velitas,Darell,361642,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq,12/27/2019,1/3/2020,Chile
70,11PM,Maluma,346324,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,12/27/2019,1/3/2020,Chile
71,Hookah & Sheridan s,Tommy Boysen,341645,https://open.spotify.com/track/3QfD4bxxkopZL7XZ8RaezH,12/27/2019,1/3/2020,Chile
72,Goteo,Duki,339873,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3,12/27/2019,1/3/2020,Chile
73,Dele Cotele - Remix,Yohancito,335592,https://open.spotify.com/track/6U3AilMn51njMyILgOlBQl,12/27/2019,1/3/2020,Chile
74,Desconocidos,Mau y Ricky,331147,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,12/27/2019,1/3/2020,Chile
75,Tal Vez,Paulo Londra,329510,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,12/27/2019,1/3/2020,Chile
