,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
41,scuol4,tha Supreme,682636,https://open.spotify.com/track/1V7hvLe3fpZTMoqKLkBDgW,12/27/2019,1/3/2020,Italy
42,SCACCIACANI,Ketama126,673823,https://open.spotify.com/track/1T4Q9sLfxlFP4EMvedo8p3,12/27/2019,1/3/2020,Italy
43,Rossetto,Random,671157,https://open.spotify.com/track/4nWtDExgGzlOQwxmp5JjUT,12/27/2019,1/3/2020,Italy
44,Dove e quando,Benji & Fede,668771,https://open.spotify.com/track/5XM7tx8ovQ9UrYqUowW1AK,12/27/2019,1/3/2020,Italy
45,no14 - feat. Dani Faiv,tha Supreme,662788,https://open.spotify.com/track/7KksdXBhdufqWDxGxyt4I7,12/27/2019,1/3/2020,Italy
46,Circles,Post Malone,651895,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Italy
47,oh 9od - feat. Nayt,tha Supreme,647344,https://open.spotify.com/track/5Qy9jtZdxUnFXmgPp3u5VZ,12/27/2019,1/3/2020,Italy
48,YOSHI (feat. Fabri Fibra) - prod. Strage,MACHETE,645715,https://open.spotify.com/track/3Hh0ZcGIqIkSiJVZGLcVLx,12/27/2019,1/3/2020,Italy
49,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,638522,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad,12/27/2019,1/3/2020,Italy
50,Que Calor (with J Balvin & El Alfa),Major Lazer,594594,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,12/27/2019,1/3/2020,Italy
51,everything i wanted,Billie Eilish,581933,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Italy
52,come fa1,tha Supreme,576671,https://open.spotify.com/track/5tlRHNdTy4la5CuTkbYeQE,12/27/2019,1/3/2020,Italy
53,Lose Control,MEDUZA,574417,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Italy
54,Fuori E Dentro (feat. tha Supreme),Gemitaiz,567758,https://open.spotify.com/track/34UHhwlly3SHryWuVfMOJm,12/27/2019,1/3/2020,Italy
