Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
41,告白氣球,Jay Chou,39584,https://open.spotify.com/track/1ivCIgrYZyE0BvItL4Z8lk,12/27/2019,1/3/2020,Hong Kong
42,How Do You Sleep?,Sam Smith,38762,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Hong Kong
43,Something Just Like This,The Chainsmokers,38206,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,12/27/2019,1/3/2020,Hong Kong
44,囍帖街,Kay Tse,38112,https://open.spotify.com/track/3hU9nGBhYJQwvF8BJ4PUcE,12/27/2019,1/3/2020,Hong Kong
45,Shallow,Lady Gaga,37999,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,12/27/2019,1/3/2020,Hong Kong
46,可惜我是水瓶座,Miriam Yeung,36915,https://open.spotify.com/track/1sWUT5hSawhEctQEQrVQdn,12/27/2019,1/3/2020,Hong Kong
47,逃生門 (feat. 王灝兒) - 門外版,Endy Chow,36808,https://open.spotify.com/track/2WMOgfhslraKnEEbXSL5JJ,12/27/2019,1/3/2020,Hong Kong
48,情感的廢墟,Juno Mak,36722,https://open.spotify.com/track/3JSL8Rs1fuYbUZJ0wD0iwE,12/27/2019,1/3/2020,Hong Kong
49,人話,Charmaine Fong,36542,https://open.spotify.com/track/0up40LIPnr6XxfDpG2KS0U,12/27/2019,1/3/2020,Hong Kong
50,Before You Go,Lewis Capaldi,36386,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Hong Kong
51,Show Yourself,Idina Menzel,36106,https://open.spotify.com/track/50WeOnXhM1H7AZEeIDoWfZ,12/27/2019,1/3/2020,Hong Kong
52,心之科學,Joey Yung,35927,https://open.spotify.com/track/1gVMd7oYGo6Whlgg7pAa7M,12/27/2019,1/3/2020,Hong Kong
53,命硬,Justin Lo,35211,https://open.spotify.com/track/47RgWWTJno746wCInL4gQz,12/27/2019,1/3/2020,Hong Kong
54,明年今日,Eason Chan,34425,https://open.spotify.com/track/4UD5xrQI4nKftCje1y5Te9,12/27/2019,1/3/2020,Hong Kong
55,櫻花樹下,Hins Cheung,34408,https://open.spotify.com/track/2FgDWCqMCIAATvqr9ozeYm,12/27/2019,1/3/2020,Hong Kong
56,Takeaway,The Chainsmokers,34119,https://open.spotify.com/track/3g0mEQx3NTanacLseoP0Gw,12/27/2019,1/3/2020,Hong Kong
57,歲月如歌,Eason Chan,34059,https://open.spotify.com/track/209lkexhDOdjGJMv9iw3rJ,12/27/2019,1/3/2020,Hong Kong
58,Shape of You,Ed Sheeran,33830,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,12/27/2019,1/3/2020,Hong Kong
59,心淡,Joey Yung,33087,https://open.spotify.com/track/0Eum5dQqpUDgwJiUucG3QU,12/27/2019,1/3/2020,Hong Kong
60,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,32989,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0,12/27/2019,1/3/2020,Hong Kong
61,Boy With Luv (feat. Halsey),BTS,32951,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,12/27/2019,1/3/2020,Hong Kong
62,怎麼了,Eric Chou,32941,https://open.spotify.com/track/5cU1O9P0EDA0rPkPDykhIm,12/27/2019,1/3/2020,Hong Kong
63,Two at a time,AGA,32937,https://open.spotify.com/track/5741NTjBfR94bA24OL24vZ,12/27/2019,1/3/2020,Hong Kong
64,傳聞,Pakho Chau,32384,https://open.spotify.com/track/0nJx06quWzRoqStpsyv4fe,12/27/2019,1/3/2020,Hong Kong
65,"嫁給愛情 - 劇集 ""多功能老婆"" 主題曲",Miriam Yeung,32323,https://open.spotify.com/track/17ZRJBvZJV8WTsFLV8JWRz,12/27/2019,1/3/2020,Hong Kong
66,說散就散,JC 陳詠桐,32241,https://open.spotify.com/track/35fpQiijFocukVyzHCjhCn,12/27/2019,1/3/2020,Hong Kong
67,Perfect,Ed Sheeran,31982,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,12/27/2019,1/3/2020,Hong Kong
68,來自天堂的魔鬼,G.E.M.,31927,https://open.spotify.com/track/0g2XnkKghVN22yze1gTJzl,12/27/2019,1/3/2020,Hong Kong
69,Trampoline,SHAED,31687,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,Hong Kong
70,HIP,MAMAMOO,31536,https://open.spotify.com/track/24nK8tW7Pt3Inh2utttuoG,12/27/2019,1/3/2020,Hong Kong
71,無盡,Supper Moment,31375,https://open.spotify.com/track/6TNz79kvUVVQSM2EhZQVq8,12/27/2019,1/3/2020,Hong Kong
72,你是你本身的傳奇,Charmaine Fong,31189,https://open.spotify.com/track/5uMkdWf1H6JEcpcdnPOSZM,12/27/2019,1/3/2020,Hong Kong
73,戀無可戀,Leo Ku,31168,https://open.spotify.com/track/4zVevFBE0Ub4WaUS91f9g1,12/27/2019,1/3/2020,Hong Kong
74,Graveyard,Halsey,31165,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2,12/27/2019,1/3/2020,Hong Kong
75,百年樹木,Hins Cheung,30930,https://open.spotify.com/track/5ql4tlxS3GtADNsSRi2GnW,12/27/2019,1/3/2020,Hong Kong
76,Up All Night,Khalid,30762,https://open.spotify.com/track/1mpD5Q8IM32I4bF6eCpU74,12/27/2019,1/3/2020,Hong Kong
77,年少有為,Ronghao Li,30663,https://open.spotify.com/track/6XY80Ofqd8j0SGiEdRLwCp,12/27/2019,1/3/2020,Hong Kong
78,2002,Anne-Marie,30356,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,12/27/2019,1/3/2020,Hong Kong
79,Closer,The Chainsmokers,30246,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,12/27/2019,1/3/2020,Hong Kong
80,突然好想你,Mayday,30240,https://open.spotify.com/track/0IAgufC1FlOg1nZMmRZxRr,12/27/2019,1/3/2020,Hong Kong
81,If I Can't Have You,Shawn Mendes,30230,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh,12/27/2019,1/3/2020,Hong Kong
82,大哥,Janice Vidal,30191,https://open.spotify.com/track/2fzOOTi4YDXENpUCr1fiaW,12/27/2019,1/3/2020,Hong Kong
83,羅生門,Juno Mak,30038,https://open.spotify.com/track/7xAVLrbnud6OrU6f4FmxDr,12/27/2019,1/3/2020,Hong Kong
84,等你下課,Jay Chou,29970,https://open.spotify.com/track/76WthWB0v0KXUHZoAclMVV,12/27/2019,1/3/2020,Hong Kong
85,說謊,Yoga Lin,29826,https://open.spotify.com/track/5EXpL9orGpIsscSyBgPdSx,12/27/2019,1/3/2020,Hong Kong
86,後來的我們,Mayday,29789,https://open.spotify.com/track/13AruKdh8wJhWx6i5dV8X1,12/27/2019,1/3/2020,Hong Kong
87,Speechless (Full),Naomi Scott,29518,https://open.spotify.com/track/3BBahK6YhmPosOymF45cMu,12/27/2019,1/3/2020,Hong Kong
88,兜圈 (偶像劇「必娶女人」片尾曲),Yoga Lin,29411,https://open.spotify.com/track/4ezCayon5X4bTBj6ztNlDH,12/27/2019,1/3/2020,Hong Kong
89,Family,The Chainsmokers,28751,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,12/27/2019,1/3/2020,Hong Kong
90,Girls Like You (feat. Cardi B),Maroon 5,28695,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,12/27/2019,1/3/2020,Hong Kong
91,逃生門,JW,28403,https://open.spotify.com/track/0ziKtZzRh1Hsc8JzlCOOum,12/27/2019,1/3/2020,Hong Kong
92,死性不改,Twins,28278,https://open.spotify.com/track/7aMEBZUCJFyV4VM60yEHtC,12/27/2019,1/3/2020,Hong Kong
93,"thank u, next",Ariana Grande,28271,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,12/27/2019,1/3/2020,Hong Kong
94,時光機,Terence Siufay,28171,https://open.spotify.com/track/53lFtfrl5Of2Hkr5eiNscQ,12/27/2019,1/3/2020,Hong Kong
95,Sucker,Jonas Brothers,28154,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,12/27/2019,1/3/2020,Hong Kong
96,2084,Dear Jane,27864,https://open.spotify.com/track/6pJT4f6S8GPQ7hWCDvygrN,12/27/2019,1/3/2020,Hong Kong
97,The Box,Roddy Ricch,27787,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,12/27/2019,1/3/2020,Hong Kong
98,13樓的大笨象,Stephanie Cheng,27758,https://open.spotify.com/track/1Cn2n7LpjpiElg6IyKB9id,12/27/2019,1/3/2020,Hong Kong
99,光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,27560,https://open.spotify.com/track/1bkvGbgK4HU8B7Ue4k7O7I,12/27/2019,1/3/2020,Hong Kong
100,Falling,Harry Styles,27382,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,12/27/2019,1/3/2020,Hong Kong
101,"Alone, Pt. II",Alan Walker,27149,https://open.spotify.com/track/0bMbDctzMmTyK2j74j3nF3,12/27/2019,1/3/2020,Hong Kong
102,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,26909,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45,12/27/2019,1/3/2020,Hong Kong
103,Look At Her Now,Selena Gomez,26878,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,12/27/2019,1/3/2020,Hong Kong
104,Yellow Hearts,Ant Saunders,26817,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,12/27/2019,1/3/2020,Hong Kong
105,Lucid Dreams,Juice WRLD,26802,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Hong Kong
106,只是太愛你,Hins Cheung,26698,https://open.spotify.com/track/0s5GrkSNp9bfP2FtrtbiJ0,12/27/2019,1/3/2020,Hong Kong
107,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",Lauv,26628,https://open.spotify.com/track/4wopYJ5wpYOM6ogm2Jugnw,12/27/2019,1/3/2020,Hong Kong
108,在月台上等你,Janice Vidal,26563,https://open.spotify.com/track/4apKcYGPasaBCwmEVvGB0k,12/27/2019,1/3/2020,Hong Kong
