,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
43,Si Se Da - Remix,Myke Towers,168101,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,12/27/2019,1/3/2020,Columbia
44,Cuaderno,Dalex,158552,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,12/27/2019,1/3/2020,Columbia
45,Don't Start Now,Dua Lipa,157904,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Columbia
46,Una Vida Para Recordar,Piso 21,156835,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus,12/27/2019,1/3/2020,Columbia
47,Otro Trago - Remix,Sech,156423,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,12/27/2019,1/3/2020,Columbia
48,Atrévete,Nicky Jam,155297,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj,12/27/2019,1/3/2020,Columbia
49,Dulce Pecado,Jessi Uribe,152993,https://open.spotify.com/track/1dcPvuDlIyEZSCtYXtZlMm,12/27/2019,1/3/2020,Columbia
50,La Lá,Mike Bahía,150499,https://open.spotify.com/track/1MYMEtHi6fmmGiDFLrBiY3,12/27/2019,1/3/2020,Columbia
51,No Te Contaron Mal,Christian Nodal,127629,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj,12/27/2019,1/3/2020,Columbia
52,La Difícil,Camilo,126486,https://open.spotify.com/track/0PaNKfwdqHjmW7hVEQ0lbu,12/27/2019,1/3/2020,Columbia
53,Aventurero,Yeison Jimenez,122825,https://open.spotify.com/track/49dwc91esnpPYpVNPS01bX,12/27/2019,1/3/2020,Columbia
54,Te Quemaste,Manuel Turizo,120306,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC,12/27/2019,1/3/2020,Columbia
55,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,118272,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,12/27/2019,1/3/2020,Columbia
56,Bellaquita,Dalex,112568,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ,12/27/2019,1/3/2020,Columbia
57,De Los Besos Que Te Di,Christian Nodal,112549,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97,12/27/2019,1/3/2020,Columbia
58,Fantasía,Ozuna,110656,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr,12/27/2019,1/3/2020,Columbia
59,bad guy,Billie Eilish,110283,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Columbia
60,"La Isla (with Sech & Dalex feat. Justin Quiles, La Exce, Feid, Zion)",Dímelo Flow,110223,https://open.spotify.com/track/0UfVfRSmy4xMyi67LKH5zZ,12/27/2019,1/3/2020,Columbia
61,Matemos las Ganas,Jessi Uribe,109868,https://open.spotify.com/track/0bID0lGh8aR5jc6PkiyPUN,12/27/2019,1/3/2020,Columbia
62,Adan y Eva,Paulo Londra,109011,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,12/27/2019,1/3/2020,Columbia
63,Un Año,Sebastian Yatra,107907,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,12/27/2019,1/3/2020,Columbia
64,Te Robaré,Nicky Jam,107133,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T,12/27/2019,1/3/2020,Columbia
65,Perreo en La Luna,Rich Music LTD,103771,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV,12/27/2019,1/3/2020,Columbia
66,No Es Justo,J Balvin,103562,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7,12/27/2019,1/3/2020,Columbia
67,Verte Ir,DJ Luian,100924,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,12/27/2019,1/3/2020,Columbia
68,Con Calma,Daddy Yankee,99702,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,12/27/2019,1/3/2020,Columbia
