,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
1,Dance Monkey,Tones And I,541690,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,12/27/2019,1/3/2020,Belgium
2,ROXANNE,Arizona Zervas,305911,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Belgium
3,Blinding Lights,The Weeknd,282751,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,12/27/2019,1/3/2020,Belgium
4,Ride It,Regard,270370,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Belgium
5,Ne reviens pas,Gradur,264920,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH,12/27/2019,1/3/2020,Belgium
6,Don't Start Now,Dua Lipa,262437,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Belgium
7,Memories,Maroon 5,259250,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Belgium
8,everything i wanted,Billie Eilish,257953,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12/27/2019,1/3/2020,Belgium
9,Circles,Post Malone,215708,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Belgium
10,Señorita,Shawn Mendes,215620,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,12/27/2019,1/3/2020,Belgium
11,Someone You Loved,Lewis Capaldi,214654,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,12/27/2019,1/3/2020,Belgium
12,Falling,Trevor Daniel,208040,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Belgium
13,bad guy,Billie Eilish,207015,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Belgium
14,Hoe Het Danst,Marco Borsato,203613,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq,12/27/2019,1/3/2020,Belgium
15,Lose Control,MEDUZA,198731,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Belgium
16,Lose You To Love Me,Selena Gomez,180291,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Belgium
17,Trampoline,SHAED,180090,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,Belgium
18,RITMO (Bad Boys For Life),Black Eyed Peas,176765,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Belgium
19,hot girl bummer,blackbear,175518,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Belgium
20,Oui ou non,Angèle,175322,https://open.spotify.com/track/7rBP4bLjMLNkix1nGHjheP,12/27/2019,1/3/2020,Belgium
21,Lalala,Y2K,162266,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,12/27/2019,1/3/2020,Belgium
22,Pookie,Aya Nakamura,161438,https://open.spotify.com/track/2QpUWi6VSNOt2WyH5FIeLD,12/27/2019,1/3/2020,Belgium
