,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
43,HP,Maluma,34505,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,12/27/2019,1/3/2020,Bolivia
44,Una Vida Para Recordar,Piso 21,34329,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus,12/27/2019,1/3/2020,Bolivia
45,Un Año,Sebastian Yatra,34075,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,12/27/2019,1/3/2020,Bolivia
46,Si Se Da - Remix,Myke Towers,34043,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,12/27/2019,1/3/2020,Bolivia
47,UN PESO,J Balvin,33831,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa,12/27/2019,1/3/2020,Bolivia
48,Cuaderno,Dalex,33603,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6,12/27/2019,1/3/2020,Bolivia
49,Adan y Eva,Paulo Londra,33381,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,12/27/2019,1/3/2020,Bolivia
50,Loco,Beéle,32929,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03,12/27/2019,1/3/2020,Bolivia
51,Perreo en La Luna,Rich Music LTD,30306,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV,12/27/2019,1/3/2020,Bolivia
52,Don't Start Now,Dua Lipa,28782,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Bolivia
53,Nunca Es Suficiente,Los Ángeles Azules,28093,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg,12/27/2019,1/3/2020,Bolivia
54,Calma - Remix,Pedro Capó,28076,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,12/27/2019,1/3/2020,Bolivia
55,Con Calma,Daddy Yankee,26928,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,12/27/2019,1/3/2020,Bolivia
56,Puntos Suspensivos,Piso 21,26598,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,12/27/2019,1/3/2020,Bolivia
57,Ella Quiere Beber - Remix,Anuel AA,26565,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,12/27/2019,1/3/2020,Bolivia
58,Secreto,Anuel AA,26112,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,12/27/2019,1/3/2020,Bolivia
59,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,25880,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL,12/27/2019,1/3/2020,Bolivia
60,Infeliz,Arcangel,25535,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m,12/27/2019,1/3/2020,Bolivia
61,Fantasía,Ozuna,25291,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr,12/27/2019,1/3/2020,Bolivia
62,No Te Vayas,Camilo,25276,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB,12/27/2019,1/3/2020,Bolivia
63,Créeme,KAROL G,25044,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU,12/27/2019,1/3/2020,Bolivia
64,Fresa,TINI,25019,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM,12/27/2019,1/3/2020,Bolivia
65,Te Quemaste,Manuel Turizo,24862,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC,12/27/2019,1/3/2020,Bolivia
66,No Te Contaron Mal,Christian Nodal,24816,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj,12/27/2019,1/3/2020,Bolivia
67,Verte Ir,DJ Luian,24430,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,12/27/2019,1/3/2020,Bolivia
68,Cuerpo en Venta,Noriel,24398,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7,12/27/2019,1/3/2020,Bolivia
69,La Boca - Remix,Mau y Ricky,24340,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT,12/27/2019,1/3/2020,Bolivia
70,La Boca,Mau y Ricky,24288,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,12/27/2019,1/3/2020,Bolivia
71,Oye,TINI,23848,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE,12/27/2019,1/3/2020,Bolivia
72,Te Robaré,Nicky Jam,23813,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T,12/27/2019,1/3/2020,Bolivia
73,Ya No Tiene Novio,Sebastian Yatra,23359,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,12/27/2019,1/3/2020,Bolivia
74,bad guy,Billie Eilish,22515,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Bolivia
75,Mami,Piso 21,21646,https://open.spotify.com/track/3bDD7GGvIzAZeHz2TOYD3A,12/27/2019,1/3/2020,Bolivia
76,Amigos Con Derechos,Reik,21450,https://open.spotify.com/track/4yVO0wOhXsZC1RuPgHP524,12/27/2019,1/3/2020,Bolivia
77,Runaway,Sebastian Yatra,21368,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,12/27/2019,1/3/2020,Bolivia
78,Cuando Te Besé,Becky G,21323,https://open.spotify.com/track/74wEiOpnvCe1tCTWKGSYta,12/27/2019,1/3/2020,Bolivia
79,Cristina,Sebastian Yatra,21237,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k,12/27/2019,1/3/2020,Bolivia
80,Memories,Maroon 5,21202,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Bolivia
81,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,21123,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx,12/27/2019,1/3/2020,Bolivia
82,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,20788,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G,12/27/2019,1/3/2020,Bolivia
83,Uniforme,Rich Music LTD,20698,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc,12/27/2019,1/3/2020,Bolivia
84,Tequila,Juanes,20638,https://open.spotify.com/track/02lGHA7bFFplYLihnUWTx8,12/27/2019,1/3/2020,Bolivia
85,Amanece,Anuel AA,20486,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,12/27/2019,1/3/2020,Bolivia
86,Que Calor (with J Balvin & El Alfa),Major Lazer,20440,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,12/27/2019,1/3/2020,Bolivia
87,ROXANNE,Arizona Zervas,19969,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Bolivia
88,Me Rehúso,Danny Ocean,19943,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o,12/27/2019,1/3/2020,Bolivia
