,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
43,HIGHEST IN THE ROOM,Travis Scott,152943,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Denmark
44,Before You Go,Lewis Capaldi,152352,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,12/27/2019,1/3/2020,Denmark
45,"Endnu (feat. Gilli, Benny Jamz & Branco)",Stepz,151269,https://open.spotify.com/track/1AwE3VLo6qlJ2xi1oS3BwE,12/27/2019,1/3/2020,Denmark
46,Lose You To Love Me,Selena Gomez,149901,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Denmark
47,I Don't Care (with Justin Bieber),Ed Sheeran,149734,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Denmark
48,Heartless,The Weeknd,145764,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,Denmark
49,Paris,Lord Siva,144736,https://open.spotify.com/track/1NgeW6kFhdqAvEKgKYhf1s,12/27/2019,1/3/2020,Denmark
50,Nik & Jay,TopGunn,144729,https://open.spotify.com/track/151GbWJcajt35sN4T309vF,12/27/2019,1/3/2020,Denmark
51,No Idea,Don Toliver,143695,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,12/27/2019,1/3/2020,Denmark
52,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,142650,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Denmark
53,Culo (feat. Branco),Gilli,134982,https://open.spotify.com/track/49vQclrdXkZXMJnD0VN3qZ,12/27/2019,1/3/2020,Denmark
54,Shallow,Lady Gaga,134789,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,12/27/2019,1/3/2020,Denmark
55,Piece Of Your Heart,MEDUZA,132616,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,Denmark
56,GANG GANG,JACKBOYS,129753,https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK,12/27/2019,1/3/2020,Denmark
57,Cassie (feat. Suspekt),Xander,129526,https://open.spotify.com/track/6MhfzzGpcBfSOSGveobKzS,12/27/2019,1/3/2020,Denmark
58,Ingenting At Sige (feat. NODE),Gilli,129004,https://open.spotify.com/track/6WZHm21UPkvcmh5VLjhFZg,12/27/2019,1/3/2020,Denmark
59,Som Fluer,The Minds Of 99,125148,https://open.spotify.com/track/4diMl3ee8zco6asVZNKjti,12/27/2019,1/3/2020,Denmark
