Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
45,Robbery,Juice WRLD,760639,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,9/11/2020,9/18/2020,United Kingdom
46,Airplane Mode (feat. NSG),Nines,759325,https://open.spotify.com/track/4Dech2aFB9vMxRFF4rJAM1,9/11/2020,9/18/2020,United Kingdom
47,Woi,Digga D,755668,https://open.spotify.com/track/69F4G9WD5U1vKrpaCiLznl,9/11/2020,9/18/2020,United Kingdom
48,Smile (with The Weeknd),Juice WRLD,750700,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF,9/11/2020,9/18/2020,United Kingdom
49,Lucid Dreams,Juice WRLD,733710,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,9/11/2020,9/18/2020,United Kingdom
50,Dancing In The Moonlight (feat. NEIMY),Jubël,721081,https://open.spotify.com/track/4GSDkZt7GcmzBWmsMcpaVO,9/11/2020,9/18/2020,United Kingdom
51,Dior,Pop Smoke,707865,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,9/11/2020,9/18/2020,United Kingdom
52,Location (feat. Burna Boy),Dave,672155,https://open.spotify.com/track/3z4CGd63tpUn9a6oQSG0CI,9/11/2020,9/18/2020,United Kingdom
53,Lasting Lover,Sigala,670103,https://open.spotify.com/track/0DmAvNCAK08oCi7miSZUIY,9/11/2020,9/18/2020,United Kingdom
54,Mr. Brightside,The Killers,669375,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B,9/11/2020,9/18/2020,United Kingdom
55,Rain,Aitch,659000,https://open.spotify.com/track/7h2ozcUpSL7ulXjRPPQcDy,9/11/2020,9/18/2020,United Kingdom
56,Before You Go,Lewis Capaldi,645732,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,9/11/2020,9/18/2020,United Kingdom
57,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,642812,https://open.spotify.com/track/2MbdDtCv5LUVjYy9RuGTgC,9/11/2020,9/18/2020,United Kingdom
58,Over Now (with The Weeknd),Calvin Harris,622762,https://open.spotify.com/track/58AGoOGbwsQMhBbH0eFLRR,9/11/2020,9/18/2020,United Kingdom
59,Toosie Slide,Drake,617126,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,9/11/2020,9/18/2020,United Kingdom
60,Party Girl,StaySolidRocky,606012,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP,9/11/2020,9/18/2020,United Kingdom
61,Flowers (feat. Jaykae),Nathan Dawe,601924,https://open.spotify.com/track/5aYWnrsYvJk8NT7PmUcxVN,9/11/2020,9/18/2020,United Kingdom
62,Hallucinate,Dua Lipa,601114,https://open.spotify.com/track/1nYeVF5vIBxMxfPoL0SIWg,9/11/2020,9/18/2020,United Kingdom
63,death bed (coffee for your head),Powfu,586646,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,9/11/2020,9/18/2020,United Kingdom
64,Still Don't Know My Name,Labrinth,583474,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,9/11/2020,9/18/2020,United Kingdom
65,Adore You,Harry Styles,575359,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,9/11/2020,9/18/2020,United Kingdom
66,Lonely,Joel Corry,570610,https://open.spotify.com/track/2ZEq4HT450Ye9IFGPTl9qV,9/11/2020,9/18/2020,United Kingdom
67,my ex's best friend (with blackbear),Machine Gun Kelly,561975,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,9/11/2020,9/18/2020,United Kingdom
68,Don't Start Now,Dua Lipa,560429,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,9/11/2020,9/18/2020,United Kingdom
69,Chicago Freestyle (feat. Giveon),Drake,553696,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,9/11/2020,9/18/2020,United Kingdom
70,Electric Love,BØRNS,553641,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ,9/11/2020,9/18/2020,United Kingdom
71,Falling,Harry Styles,544017,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,9/11/2020,9/18/2020,United Kingdom
72,Kings & Queens,Ava Max,539153,https://open.spotify.com/track/76nqCfJOcFFWBJN32PAksn,9/11/2020,9/18/2020,United Kingdom
73,This City,Sam Fischer,531128,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt,9/11/2020,9/18/2020,United Kingdom
74,Ladbroke Grove,AJ Tracey,521118,https://open.spotify.com/track/7b4ky1LlQLFhXHmhZkFgqV,9/11/2020,9/18/2020,United Kingdom
75,Tap In,Saweetie,520728,https://open.spotify.com/track/4Hpib09wXgD84w4uwTPnYD,9/11/2020,9/18/2020,United Kingdom
76,Lagga,M1llionz,517802,https://open.spotify.com/track/5GrnYtEXFHN51MvfBZz9ji,9/11/2020,9/18/2020,United Kingdom
77,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,513200,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,9/11/2020,9/18/2020,United Kingdom
78,Got It On Me,Pop Smoke,509212,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,9/11/2020,9/18/2020,United Kingdom
79,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,508558,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,9/11/2020,9/18/2020,United Kingdom
80,What You Know Bout Love,Pop Smoke,508346,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y,9/11/2020,9/18/2020,United Kingdom
81,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,508080,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO,9/11/2020,9/18/2020,United Kingdom
82,Circles,Post Malone,498549,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,9/11/2020,9/18/2020,United Kingdom
83,cardigan,Taylor Swift,497162,https://open.spotify.com/track/4R2kfaDFhslZEMJqAFNpdd,9/11/2020,9/18/2020,United Kingdom
84,Don't Rush (feat. Headie One),Young T & Bugsey,494158,https://open.spotify.com/track/7LRmDx4pMTQuOBBwRT1MCT,9/11/2020,9/18/2020,United Kingdom
85,The Box,Roddy Ricch,492395,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,9/11/2020,9/18/2020,United Kingdom
86,Bruises,Lewis Capaldi,486197,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,9/11/2020,9/18/2020,United Kingdom
87,Who's That What's That,Niko B,483129,https://open.spotify.com/track/6pRlNmiZ15mI0D0Y9VBjDe,9/11/2020,9/18/2020,United Kingdom
88,goosebumps,Travis Scott,479820,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,9/11/2020,9/18/2020,United Kingdom
89,Dancing in the Moonlight,Toploader,472250,https://open.spotify.com/track/3Fzlg5r1IjhLk2qRw667od,9/11/2020,9/18/2020,United Kingdom
90,Lets Link,WhoHeem,468572,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,9/11/2020,9/18/2020,United Kingdom
91,Riptide,Vance Joy,467328,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm,9/11/2020,9/18/2020,United Kingdom
92,OK Not To Be OK,Marshmello,466732,https://open.spotify.com/track/0zzVTGyRrWpQu8Fr28NRAv,9/11/2020,9/18/2020,United Kingdom
93,Life Is Good (feat. Drake),Future,464335,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,9/11/2020,9/18/2020,United Kingdom
94,Wonderwall - Remastered,Oasis,463249,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,9/11/2020,9/18/2020,United Kingdom
95,Break My Heart,Dua Lipa,461294,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,9/11/2020,9/18/2020,United Kingdom
96,All Girls Are The Same,Juice WRLD,456745,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,9/11/2020,9/18/2020,United Kingdom
97,Godzilla (feat. Juice WRLD),Eminem,456619,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,9/11/2020,9/18/2020,United Kingdom
98,Are You Bored Yet? (feat. Clairo),Wallows,455834,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm,9/11/2020,9/18/2020,United Kingdom
99,Vossi Bop,Stormzy,447116,https://open.spotify.com/track/5DXKtoZLm31msT7tNGNHLG,9/11/2020,9/18/2020,United Kingdom
100,Burning (feat. M Huncho & Dutchavelli),GRM Daily,446588,https://open.spotify.com/track/3fAa5d2KhtXJ1gxB1wobQz,9/11/2020,9/18/2020,United Kingdom
101,No Guidance (feat. Drake),Chris Brown,445281,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,9/11/2020,9/18/2020,United Kingdom
102,HIGHEST IN THE ROOM,Travis Scott,442297,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,9/11/2020,9/18/2020,United Kingdom
103,Put Your Records On,Ritt Momney,441522,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,9/11/2020,9/18/2020,United Kingdom
104,Do I Wanna Know?,Arctic Monkeys,438984,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt,9/11/2020,9/18/2020,United Kingdom
105,"Red Card (feat. Skepta, Jammer, JME & Shorty)",Frisco,434761,https://open.spotify.com/track/7vCzWUYsfbDga8ZuUzn1RE,9/11/2020,9/18/2020,United Kingdom
106,Something Special,Pop Smoke,434337,https://open.spotify.com/track/5kkaSMcf4BFlhRRICCKZb6,9/11/2020,9/18/2020,United Kingdom
107,Daisy,Ashnikko,434314,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk,9/11/2020,9/18/2020,United Kingdom
108,Ice Cream (with Selena Gomez),BLACKPINK,431436,https://open.spotify.com/track/2J4P46vCFm1rPkNkp9pZWX,9/11/2020,9/18/2020,United Kingdom
109,bad guy,Billie Eilish,429426,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,9/11/2020,9/18/2020,United Kingdom
110,Higher Love,Kygo,427158,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY,9/11/2020,9/18/2020,United Kingdom
111,Shallow,Lady Gaga,423807,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,9/11/2020,9/18/2020,United Kingdom
112,How Do You Want It (feat. Krept & Konan and Bandokay),Swarmz,422986,https://open.spotify.com/track/4bo8wLRodh0QSqCdgqbxUs,9/11/2020,9/18/2020,United Kingdom
113,SICKO MODE,Travis Scott,414999,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,9/11/2020,9/18/2020,United Kingdom
114,Savage Remix (feat. Beyoncé),Megan Thee Stallion,414974,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,9/11/2020,9/18/2020,United Kingdom
115,Bando Diaries,dutchavelli,413359,https://open.spotify.com/track/1gaMQvjO3dKpOGWv5z7Itr,9/11/2020,9/18/2020,United Kingdom
116,Mad at Disney,salem ilese,411736,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,9/11/2020,9/18/2020,United Kingdom
117,Stuck with U (with Justin Bieber),Ariana Grande,411622,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,9/11/2020,9/18/2020,United Kingdom
118,3 Nights,Dominic Fike,411326,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX,9/11/2020,9/18/2020,United Kingdom
119,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,410755,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi,9/11/2020,9/18/2020,United Kingdom
