,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
42,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,67887,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Costa Rica
43,Toast,Koffee,66881,https://open.spotify.com/track/7sd72KZS8D59g5NmhxyHpJ,12/27/2019,1/3/2020,Costa Rica
44,Don't Start Now,Dua Lipa,65330,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,12/27/2019,1/3/2020,Costa Rica
45,Adan y Eva,Paulo Londra,63974,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,12/27/2019,1/3/2020,Costa Rica
46,Nunca Es Suficiente,Los Ángeles Azules,63602,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg,12/27/2019,1/3/2020,Costa Rica
47,Amor A Primera Vista,Los Ángeles Azules,63201,https://open.spotify.com/track/1E7RHPXA9sZ30qfms18J7J,12/27/2019,1/3/2020,Costa Rica
48,Calma - Remix,Pedro Capó,62718,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,12/27/2019,1/3/2020,Costa Rica
49,Si Se Da - Remix,Myke Towers,62229,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,12/27/2019,1/3/2020,Costa Rica
50,Ayy Macarena,Tyga,61869,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,12/27/2019,1/3/2020,Costa Rica
51,Verte Ir,DJ Luian,60929,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,12/27/2019,1/3/2020,Costa Rica
52,Cuerpo en Venta,Noriel,60089,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7,12/27/2019,1/3/2020,Costa Rica
53,Con Calma,Daddy Yankee,56347,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,12/27/2019,1/3/2020,Costa Rica
54,Cómo Te Voy A Olvidar,Los Ángeles Azules,52027,https://open.spotify.com/track/51dNexiESqcJLsGLrmg1Nv,12/27/2019,1/3/2020,Costa Rica
55,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow,51942,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL,12/27/2019,1/3/2020,Costa Rica
56,Fantasía,Ozuna,48659,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr,12/27/2019,1/3/2020,Costa Rica
57,Adiós Amor,Christian Nodal,47908,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y,12/27/2019,1/3/2020,Costa Rica
58,La Mejor Versión de Mi - Remix,Natti Natasha,46850,https://open.spotify.com/track/2dy3TKVDEbIeWxeIb8JWqZ,12/27/2019,1/3/2020,Costa Rica
59,La Boca,Mau y Ricky,46537,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,12/27/2019,1/3/2020,Costa Rica
60,Perreo en La Luna,Rich Music LTD,46298,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV,12/27/2019,1/3/2020,Costa Rica
61,Atrévete,Nicky Jam,45175,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj,12/27/2019,1/3/2020,Costa Rica
62,Que Calor (with J Balvin & El Alfa),Major Lazer,43117,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3,12/27/2019,1/3/2020,Costa Rica
63,Solita,Sech,42791,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw,12/27/2019,1/3/2020,Costa Rica
64,bad guy,Billie Eilish,42042,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,12/27/2019,1/3/2020,Costa Rica
65,Gan-Ga - Remix,Bryant Myers,41382,https://open.spotify.com/track/27qRmG3zOWPvMYUkpPdQ1g,12/27/2019,1/3/2020,Costa Rica
66,Delincuente,Farruko,41165,https://open.spotify.com/track/3TqLIW3qd4qFYkfYsBjVN6,12/27/2019,1/3/2020,Costa Rica
67,Ella Quiere Beber - Remix,Anuel AA,41035,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw,12/27/2019,1/3/2020,Costa Rica
68,ROXANNE,Arizona Zervas,39822,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,12/27/2019,1/3/2020,Costa Rica
69,Secreto,Anuel AA,39503,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,12/27/2019,1/3/2020,Costa Rica
70,Lalala,Y2K,39258,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,12/27/2019,1/3/2020,Costa Rica
71,Circles,Post Malone,38657,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,12/27/2019,1/3/2020,Costa Rica
72,Un Año,Sebastian Yatra,38305,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0,12/27/2019,1/3/2020,Costa Rica
73,Memories,Maroon 5,37272,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,12/27/2019,1/3/2020,Costa Rica
74,HIGHEST IN THE ROOM,Travis Scott,37054,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Costa Rica
75,Falling,Trevor Daniel,35682,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,12/27/2019,1/3/2020,Costa Rica
76,Probablemente,Christian Nodal,35526,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z,12/27/2019,1/3/2020,Costa Rica
77,Te Robaré,Nicky Jam,35183,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T,12/27/2019,1/3/2020,Costa Rica
78,Uniforme,Rich Music LTD,35112,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc,12/27/2019,1/3/2020,Costa Rica
79,La Playa,Myke Towers,34963,https://open.spotify.com/track/0jeS8PyyIRAG0A3t5DtL71,12/27/2019,1/3/2020,Costa Rica
80,No Te Vayas,Camilo,34909,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB,12/27/2019,1/3/2020,Costa Rica
81,Me Rehúso,Danny Ocean,34586,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o,12/27/2019,1/3/2020,Costa Rica
82,Lose You To Love Me,Selena Gomez,34370,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Costa Rica
83,MIA (feat. Drake),Bad Bunny,34142,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,12/27/2019,1/3/2020,Costa Rica
84,La Difícil,Camilo,33893,https://open.spotify.com/track/0PaNKfwdqHjmW7hVEQ0lbu,12/27/2019,1/3/2020,Costa Rica
85,HP,Maluma,33688,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3,12/27/2019,1/3/2020,Costa Rica
86,Adore You,Harry Styles,33486,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,12/27/2019,1/3/2020,Costa Rica
