,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
36,Taka ni se pada,Preslava,9104,https://open.spotify.com/track/4QVBJZKMRLl2XsSDGbsf7D,12/27/2019,1/3/2020,Bulgaria
37,Ride It,Regard,9096,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Bulgaria
38,Watermelon Sugar,Harry Styles,9082,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Bulgaria
39,Куча марка,Boro Purvi,9038,https://open.spotify.com/track/1gcVQukmyakNQHHLSPbxH2,12/27/2019,1/3/2020,Bulgaria
40,Koy,Aria,8971,https://open.spotify.com/track/0gkH2x7PQIPz4majlHkAqr,12/27/2019,1/3/2020,Bulgaria
41,Ella Ella,DARA,8890,https://open.spotify.com/track/51iXf0uczhZaNjva8wADBv,12/27/2019,1/3/2020,Bulgaria
42,SICKO MODE,Travis Scott,8793,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,12/27/2019,1/3/2020,Bulgaria
43,Panika,Galena,8684,https://open.spotify.com/track/5wcPNdRpptulbKgLljGjMh,12/27/2019,1/3/2020,Bulgaria
44,JACKBOYS,JACKBOYS,8602,https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o,12/27/2019,1/3/2020,Bulgaria
45,Imam Chovek,Itzo Hazarta,8409,https://open.spotify.com/track/3bBIcLfShA5RAGmlwebWqw,12/27/2019,1/3/2020,Bulgaria
46,lovely (with Khalid),Billie Eilish,8184,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,12/27/2019,1/3/2020,Bulgaria
47,Lose Control,MEDUZA,8178,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Bulgaria
48,Lose You To Love Me,Selena Gomez,8139,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Bulgaria
49,Angelat,Tsvetelina Yaneva,7910,https://open.spotify.com/track/6Mz5CHGtDObrnB7RmH2WeI,12/27/2019,1/3/2020,Bulgaria
50,Beautiful People (feat. Khalid),Ed Sheeran,7870,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Bulgaria
51,How Do You Sleep?,Sam Smith,7743,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,12/27/2019,1/3/2020,Bulgaria
52,I Don't Care (with Justin Bieber),Ed Sheeran,7732,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,12/27/2019,1/3/2020,Bulgaria
53,rockstar (feat. 21 Savage),Post Malone,7704,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,12/27/2019,1/3/2020,Bulgaria
54,hot girl bummer,blackbear,7665,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Bulgaria
55,Dusho moya,Emrah,7610,https://open.spotify.com/track/3otHC1sWkNLtiU6QFx2cJY,12/27/2019,1/3/2020,Bulgaria
56,Bandit (with YoungBoy Never Broke Again),Juice WRLD,7556,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,12/27/2019,1/3/2020,Bulgaria
57,Ransom,Lil Tecca,7493,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,12/27/2019,1/3/2020,Bulgaria
58,Paranoya,Vanya,7435,https://open.spotify.com/track/4ix0ntu244dcdAoSml7trs,12/27/2019,1/3/2020,Bulgaria
59,Bravo,Itzo Hazarta,7420,https://open.spotify.com/track/0ypYK4kpq4ePvYyxZFrJuN,12/27/2019,1/3/2020,Bulgaria
60,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,7265,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,12/27/2019,1/3/2020,Bulgaria
61,Futsal Shuffle 2020,Lil Uzi Vert,7155,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,12/27/2019,1/3/2020,Bulgaria
62,Liar,Camila Cabello,7111,https://open.spotify.com/track/073ILU1C3APNRGF66VhtyA,12/27/2019,1/3/2020,Bulgaria
63,when the party's over,Billie Eilish,7043,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,12/27/2019,1/3/2020,Bulgaria
64,Sucker,Jonas Brothers,6872,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,12/27/2019,1/3/2020,Bulgaria
65,Without Me,Halsey,6863,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,12/27/2019,1/3/2020,Bulgaria
66,Dobre li si,Galena,6804,https://open.spotify.com/track/3RaNeu1vy6xooSAYm6h1UQ,12/27/2019,1/3/2020,Bulgaria
67,1 Kym 1,Atanas Kolev,6772,https://open.spotify.com/track/1O8d9uUWkkVhs3OD0bbE0V,12/27/2019,1/3/2020,Bulgaria
68,Look At Her Now,Selena Gomez,6763,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m,12/27/2019,1/3/2020,Bulgaria
69,Gorilla,2bona,6715,https://open.spotify.com/track/0ZqakYho8fupx0NyVcWg1M,12/27/2019,1/3/2020,Bulgaria
70,Hate Me (with Juice WRLD),Ellie Goulding,6650,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE,12/27/2019,1/3/2020,Bulgaria
71,Te Amo,Torino,6452,https://open.spotify.com/track/6fcPuGEcPN6oq7DCLocYU0,12/27/2019,1/3/2020,Bulgaria
72,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,6418,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,Bulgaria
73,RITMO (Bad Boys For Life),Black Eyed Peas,6353,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Bulgaria
74,goosebumps,Travis Scott,6349,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,12/27/2019,1/3/2020,Bulgaria
75,bury a friend,Billie Eilish,6339,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,12/27/2019,1/3/2020,Bulgaria
76,Candy,Doja Cat,6268,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be,12/27/2019,1/3/2020,Bulgaria
77,Vartelezhkata,Yanitsa,6232,https://open.spotify.com/track/4HMiW3eARgvjdCqmhuMJ1V,12/27/2019,1/3/2020,Bulgaria
78,SAD!,XXXTENTACION,6212,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,12/27/2019,1/3/2020,Bulgaria
79,Bolka moya,Tsvetelina Yaneva,6173,https://open.spotify.com/track/6dLlspYfiur5j8R3u1Sua6,12/27/2019,1/3/2020,Bulgaria
80,Piece Of Your Heart,MEDUZA,6159,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,12/27/2019,1/3/2020,Bulgaria
81,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,6099,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,12/27/2019,1/3/2020,Bulgaria
82,"break up with your girlfriend, i'm bored",Ariana Grande,6031,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,12/27/2019,1/3/2020,Bulgaria
83,Money In The Grave (Drake ft. Rick Ross),Drake,6012,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,12/27/2019,1/3/2020,Bulgaria
84,Katastrofa,DENIS TEOFIKOV,5990,https://open.spotify.com/track/07TkTJMhNQdCt9Aq09nVTl,12/27/2019,1/3/2020,Bulgaria
85,Akula,Emilia,5987,https://open.spotify.com/track/79J8ETyLFUdFTDZHXNNKie,12/27/2019,1/3/2020,Bulgaria
86,Shallow,Lady Gaga,5966,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,12/27/2019,1/3/2020,Bulgaria
87,Superintro,Boro Purvi,5961,https://open.spotify.com/track/2ZNTZ6YvhoXhoKV7DWOm51,12/27/2019,1/3/2020,Bulgaria
88,Trampoline,SHAED,5944,https://open.spotify.com/track/4HBvwhhYo7YiYXkUDrOHzS,12/27/2019,1/3/2020,Bulgaria
