,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,,,,
Position,Track Name,Artist,Streams,URL,Week Beginning,Week Ending,Country
43,My Oh My (feat. DaBaby),Camila Cabello,323456,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,12/27/2019,1/3/2020,Sweden
44,TRIANGELDRAMA,Robbz x Brookz,322095,https://open.spotify.com/track/0ntVXbLbKbgCesFWS6qRet,12/27/2019,1/3/2020,Sweden
45,Lose You To Love Me,Selena Gomez,318692,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,12/27/2019,1/3/2020,Sweden
46,DAG HAMMARSKJÖLD,Dree Low,315843,https://open.spotify.com/track/5MwNk30sG4xRpsDdUgUwC2,12/27/2019,1/3/2020,Sweden
47,Beautiful People (feat. Khalid),Ed Sheeran,312592,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,12/27/2019,1/3/2020,Sweden
48,DANCE,CLMD,302389,https://open.spotify.com/track/6TfeXwJihJRuBW3mFpib6J,12/27/2019,1/3/2020,Sweden
49,Då börjar fåglar sjunga,Miss Li,301382,https://open.spotify.com/track/7FemQvLSKHlBYsIM3PoCs8,12/27/2019,1/3/2020,Sweden
50,Higher Love,Kygo,299932,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,12/27/2019,1/3/2020,Sweden
51,Branschen - Recorded at Spotify Studios Stockholm,Z.E,298130,https://open.spotify.com/track/6ZFe0Rzy31duWc50Ivk4lJ,12/27/2019,1/3/2020,Sweden
52,Härifrån,Dizzy,294190,https://open.spotify.com/track/00b9utayyiUwzCkXLWSf8f,12/27/2019,1/3/2020,Sweden
53,Without You (feat. Sandro Cavazza),Avicii,292938,https://open.spotify.com/track/6Pgkp4qUoTmJIPn7ReaGxL,12/27/2019,1/3/2020,Sweden
54,Ride It,Regard,292637,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,12/27/2019,1/3/2020,Sweden
55,Roses - Imanbek Remix,SAINt JHN,279789,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,12/27/2019,1/3/2020,Sweden
56,Wake Me Up,Avicii,279030,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD,12/27/2019,1/3/2020,Sweden
57,HIGHEST IN THE ROOM,Travis Scott,277636,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,12/27/2019,1/3/2020,Sweden
58,Drip 2 Hard,Einár,272613,https://open.spotify.com/track/6h7wHyRKmQgT9COCR2TGu2,12/27/2019,1/3/2020,Sweden
59,Säg mig var du står,Little Jinder,272228,https://open.spotify.com/track/492z4HhkIEmaKS7lbXzeDK,12/27/2019,1/3/2020,Sweden
60,Sprayad,Greekazo,269055,https://open.spotify.com/track/5RbbypMC1xhw1Kqdmu5uDd,12/27/2019,1/3/2020,Sweden
61,Det bästa kanske inte hänt än,Molly Sandén,267353,https://open.spotify.com/track/7Jtmca0gCNHj9OIvv6N1y3,12/27/2019,1/3/2020,Sweden
62,Första Klass,Einár,263565,https://open.spotify.com/track/74TEgDsFaq0zMttq1dVuYK,12/27/2019,1/3/2020,Sweden
63,Close Your Eyes,Felix Jaehn,260857,https://open.spotify.com/track/7N06jo3EnV792VFaG8vuW6,12/27/2019,1/3/2020,Sweden
64,when the party's over,Billie Eilish,259688,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,12/27/2019,1/3/2020,Sweden
65,Heartless,The Weeknd,257651,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,12/27/2019,1/3/2020,Sweden
66,Family,The Chainsmokers,253018,https://open.spotify.com/track/3TKpJrY9q49Mj1JOsM9zGL,12/27/2019,1/3/2020,Sweden
67,If the World Was Ending - feat. Julia Michaels,JP Saxe,251506,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,12/27/2019,1/3/2020,Sweden
68,Katten i trakten,Einár,249088,https://open.spotify.com/track/3MZp8Ilx8eW2wSujWn3LnG,12/27/2019,1/3/2020,Sweden
69,Salt,Ava Max,246102,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV,12/27/2019,1/3/2020,Sweden
70,Babblarnas vaggvisa,Babblarna,245363,https://open.spotify.com/track/2AfIH7lNuwcbKBBfZH3ks5,12/27/2019,1/3/2020,Sweden
71,F.A.M.E (LeyLey),Dani M,244560,https://open.spotify.com/track/1ryW1LqC5VMFJFXd4wIrpf,12/27/2019,1/3/2020,Sweden
72,hot girl bummer,blackbear,241355,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,12/27/2019,1/3/2020,Sweden
73,RITMO (Bad Boys For Life),Black Eyed Peas,238067,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,12/27/2019,1/3/2020,Sweden
74,Sunnanvind,Mares,236186,https://open.spotify.com/track/4GK4mydvnsodLEHWb4zJV4,12/27/2019,1/3/2020,Sweden
75,Cleopatra,Ant Wan,233667,https://open.spotify.com/track/5QrUrRVyvzJSzxiJoiFa9w,12/27/2019,1/3/2020,Sweden
76,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,232351,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,12/27/2019,1/3/2020,Sweden
77,Lucid Dreams,Juice WRLD,230835,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,12/27/2019,1/3/2020,Sweden
78,Fast Display,Mwuana,225267,https://open.spotify.com/track/36zEgZRE7A7i5bnJoiyF4h,12/27/2019,1/3/2020,Sweden
79,74 BARS,Z.E,224401,https://open.spotify.com/track/2eGPPxqTf4IxXZJ0opXNOy,12/27/2019,1/3/2020,Sweden
80,Sand,Molly Sandén,223072,https://open.spotify.com/track/7CYKovD8hNKg0w902IASMi,12/27/2019,1/3/2020,Sweden
81,Watermelon Sugar,Harry Styles,219714,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,12/27/2019,1/3/2020,Sweden
82,Hornstullsstrand,Hov1,217250,https://open.spotify.com/track/2kju4JyRnNmiwQYhFrLgKy,12/27/2019,1/3/2020,Sweden
83,Own It (feat. Ed Sheeran & Burna Boy),Stormzy,213778,https://open.spotify.com/track/4QPEwDdOMhY7rNS05mTyMR,12/27/2019,1/3/2020,Sweden
84,Sweet but Psycho,Ava Max,212998,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,12/27/2019,1/3/2020,Sweden
85,Let Him Go,JUNG,212697,https://open.spotify.com/track/1rvQJUktrzdBlMahF8NBfZ,12/27/2019,1/3/2020,Sweden
86,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,211992,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,12/27/2019,1/3/2020,Sweden
87,Rain,Tusse,209911,https://open.spotify.com/track/0N7kxmu1jOkEE8mmQNl1cE,12/27/2019,1/3/2020,Sweden
88,Hon är min (feat. Erik Segerstedt & Mattias Andréasson),Danny Saucedo,207631,https://open.spotify.com/track/20OBnqjM7gct8wMqyhaObY,12/27/2019,1/3/2020,Sweden
89,Klär av dig,Victor Leksell,205274,https://open.spotify.com/track/7gt0BOQGPSst4wY6BQoH6u,12/27/2019,1/3/2020,Sweden
90,The Box,Roddy Ricch,203204,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,12/27/2019,1/3/2020,Sweden
91,Garaget,ADAAM,201305,https://open.spotify.com/track/1xNfDze1BZay8BHo5eA4vo,12/27/2019,1/3/2020,Sweden
92,Always Remember Us This Way,Lady Gaga,201220,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,12/27/2019,1/3/2020,Sweden
93,Bruises,Lewis Capaldi,199844,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,12/27/2019,1/3/2020,Sweden
94,Suicidal,YNW Melly,199200,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,12/27/2019,1/3/2020,Sweden
95,Sånger från förut,GAMMAL,198633,https://open.spotify.com/track/7eXmd9KhEpsvATd568suYZ,12/27/2019,1/3/2020,Sweden
96,Nu Vi Skiner,Einár,198086,https://open.spotify.com/track/1vyWquflaiRZNvmDMAXedU,12/27/2019,1/3/2020,Sweden
97,Hey Ho,Freddy Kalas,197521,https://open.spotify.com/track/0eekaX32hUmJgcinPCL1iZ,12/27/2019,1/3/2020,Sweden
98,Jag Vil Ha Dig,Ringnes-Ronny,195671,https://open.spotify.com/track/0IiWe6NRNBB7QbrCcgUCZX,12/27/2019,1/3/2020,Sweden
99,No Idea,Don Toliver,193923,https://open.spotify.com/track/3VyjsVV24RmBIbWJAeUJNu,12/27/2019,1/3/2020,Sweden
100,Falling,Harry Styles,189392,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,12/27/2019,1/3/2020,Sweden
101,Starta vågen,Aden x Asme,189012,https://open.spotify.com/track/6yMlFbOT0gNy7Qlsrn2jD7,12/27/2019,1/3/2020,Sweden
102,Nr 1,Einár,188745,https://open.spotify.com/track/0pHeYnigEgjN0vbQhUwXqd,12/27/2019,1/3/2020,Sweden
103,"Tough Love (feat. Agnes, Vargas & Lagola)",Avicii,187955,https://open.spotify.com/track/1yfyIdEw5U2bD5I6gxQCxW,12/27/2019,1/3/2020,Sweden
104,Kall,Ant Wan,186881,https://open.spotify.com/track/3YHHiktpaEShl6v22bOpzo,12/27/2019,1/3/2020,Sweden
105,Happy Now,Kygo,186406,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,12/27/2019,1/3/2020,Sweden
106,Forgive Me Friend (feat. Swedish Jam Factory),Smith & Thell,185439,https://open.spotify.com/track/6uYSfre2oDrvGBAWEcnr51,12/27/2019,1/3/2020,Sweden
107,Hotel Walls,Smith & Thell,183714,https://open.spotify.com/track/7MUUzpdrSa8UUEpyS1dGUq,12/27/2019,1/3/2020,Sweden
108,Bandit (with YoungBoy Never Broke Again),Juice WRLD,181255,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,12/27/2019,1/3/2020,Sweden
109,Don't Stop Believin',Journey,181042,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue,12/27/2019,1/3/2020,Sweden
110,lovely (with Khalid),Billie Eilish,180965,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,12/27/2019,1/3/2020,Sweden
111,Hon dansar vidare i livet,Hov1,178394,https://open.spotify.com/track/1aEU7mcRDTYBB4ASpqbjYE,12/27/2019,1/3/2020,Sweden
112,Det går bra nu,Magnus Uggla,177987,https://open.spotify.com/track/5F2yyl4knY893SQPVNEBQG,12/27/2019,1/3/2020,Sweden
113,Min Nivå,Einár,177485,https://open.spotify.com/track/12qTfrg0Wp6zSnawQxaL4q,12/27/2019,1/3/2020,Sweden
114,Nasty Thug,Dizzy,177221,https://open.spotify.com/track/7B0A4QjONMPH1sbRMyii5n,12/27/2019,1/3/2020,Sweden
115,Don't Call Me Up,Mabel,177201,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,12/27/2019,1/3/2020,Sweden
116,Be Alright,Dean Lewis,176812,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,12/27/2019,1/3/2020,Sweden
117,Old Town Road - Remix,Lil Nas X,176771,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,12/27/2019,1/3/2020,Sweden
118,Fyller,Z.E,176667,https://open.spotify.com/track/2DWQbOtXzKN6GHrtCPyZFY,12/27/2019,1/3/2020,Sweden
119,bury a friend,Billie Eilish,175430,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,12/27/2019,1/3/2020,Sweden
120,All Night Long (All Night) - Recorded at Spotify Studios Stockholm,Benjamin Ingrosso,173279,https://open.spotify.com/track/1I7arMzqZe0nxd9TfkG0Dt,12/27/2019,1/3/2020,Sweden
121,Play,K-391,172515,https://open.spotify.com/track/4jp4Z02kzzg8gK0NmDGgml,12/27/2019,1/3/2020,Sweden
122,Vårt år,estraden,171524,https://open.spotify.com/track/2yNfaW5s5EXJDcKZWOjuzq,12/27/2019,1/3/2020,Sweden
123,På egna ben,Magnus Uggla,171072,https://open.spotify.com/track/41NJjQ4MoYeJoTwurM6Iiz,12/27/2019,1/3/2020,Sweden
124,ANNA BOOK,Frej Larsson,169666,https://open.spotify.com/track/4yxr3khkHJypQDArNlVbjZ,12/27/2019,1/3/2020,Sweden
125,Lose Control,MEDUZA,168864,https://open.spotify.com/track/7CHi4DtfK4heMlQaudCuHK,12/27/2019,1/3/2020,Sweden
126,Den som e den,Molly Sandén,166768,https://open.spotify.com/track/53T4MpkaHLd3oYK5PC5YH2,12/27/2019,1/3/2020,Sweden
127,Dö ung,Hov1,166361,https://open.spotify.com/track/2OQgPPnwvacwYPs4CwRKjK,12/27/2019,1/3/2020,Sweden
128,Händerna mot himlen,Petra Marklund,164594,https://open.spotify.com/track/14AJI1RloVWTh8bJe9gBPM,12/27/2019,1/3/2020,Sweden
129,High Hopes,Panic! At The Disco,163719,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,12/27/2019,1/3/2020,Sweden
130,Sweettalk my Heart,Tove Lo,163672,https://open.spotify.com/track/4Cgedth1L3nBdVLU5Z42m1,12/27/2019,1/3/2020,Sweden
131,KAPABEL 2,Dree Low,163392,https://open.spotify.com/track/5hJ3tz6PVAEvPtu6NJbmC3,12/27/2019,1/3/2020,Sweden
132,Solen har gått ner,Veronica Maggio,162860,https://open.spotify.com/track/10ylH6P7Lk02UVQbHSLSuJ,12/27/2019,1/3/2020,Sweden
133,Good as Hell (feat. Ariana Grande) - Remix,Lizzo,162838,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd,12/27/2019,1/3/2020,Sweden
