,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",2756098,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,"Hola - Remix",Dalex,1883852,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
3,"RITMO (Bad Boys For Life)","Black Eyed Peas",1827650,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
4,Fantasias,"Rauw Alejandro",1654490,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
5,"Que Tire Pa Lante","Daddy Yankee",1512528,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
6,"Dance Monkey","Tones And I",1507912,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
7,China,"Anuel AA",1404678,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
8,"Bellaquita - Remix",Dalex,1327658,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
9,Fresa,TINI,1299252,https://open.spotify.com/track/4BCPItsB94KDLuERZT3aNM
10,Vete,"Bad Bunny",1276576,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
11,"C90 (Remix)","John C",1231374,https://open.spotify.com/track/2b6i9zx3ULzKrNWmyP0ePD
12,"Perreo en La Luna","Rich Music LTD",1223710,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
13,"Adicto (with Anuel AA & Ozuna)",Tainy,1170593,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
14,"Ya No Mas","Fer Palacio",1160276,https://open.spotify.com/track/4dqoJHdxf9Ez4DDqGh2PBc
15,Tutu,Camilo,1029163,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
16,"Whine Up","Nicky Jam",1015631,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
17,Quizas,"Rich Music LTD",1007748,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
18,"Sigues Con El","Dímelo Flow",978895,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
19,Goteo,Duki,970521,https://open.spotify.com/track/57kdZIOAaolxAjB67d2yU3
20,"Si Te Vas",Sech,954469,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
21,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",932823,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
22,Aventura,Lunay,919157,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
23,"LA CANCIÓN","J Balvin",882230,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
24,"No Me Conoce - Remix","Jhay Cortez",866932,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
25,Callaita,"Bad Bunny",813254,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
26,"Cómo estás","Ke Personajes",801888,https://open.spotify.com/track/6bLvfGI2XeU5DTl8feuNrk
27,Señorita,"Shawn Mendes",775103,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
28,CANGURO,WOS,768152,https://open.spotify.com/track/2UAWYufVaO3EnUUNzl0ppO
29,"Soltera - Remix",Lunay,722224,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
30,"Yo x Ti, Tu x Mi",ROSALÍA,714175,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
31,"Otro Trago - Remix",Sech,697186,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
32,Oye,TINI,694308,https://open.spotify.com/track/09nSCeCs6eYfAIJVfye1CE
33,Indeciso,Reik,683366,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
34,Blanco,"J Balvin",682944,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
35,"No Dijeron Nada",Oscu,658003,https://open.spotify.com/track/66YgptYp9124vxw9yFsIGn
36,"Con Altura",ROSALÍA,653732,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
37,22,TINI,639359,https://open.spotify.com/track/07L6tEZIfCX3GZAWCpGj0e
38,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dímelo Flow",615175,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
39,"Soy Sabalero","Los Palmeras",603322,https://open.spotify.com/track/6MIulZ9FG6Td02EpvFC5ZL
40,"Don't Start Now","Dua Lipa",589450,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
41,Cuaderno,Dalex,559777,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
42,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,557284,https://open.spotify.com/track/2S93hylQBYLndMnaJuso8S
43,"John C: Bzrp Music Sessions, Vol. 18",Bizarrap,554731,https://open.spotify.com/track/08ilexedmUuccTWTeK7Dvb
44,"MELÓN VINO",WOS,551200,https://open.spotify.com/track/5uHAzGa4d9j35DEbhUwGhi
45,"Pa Mí - Remix",Dalex,547213,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
46,"Tal Vez","Paulo Londra",545189,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
47,"11 PM",Maluma,542800,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
48,"El Efecto","Rauw Alejandro",530875,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
49,"Calma - Remix","Pedro Capó",525027,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
50,Fantasía,Ozuna,517581,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
51,Bellaquita,Dalex,516042,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
52,Uniforme,"Rich Music LTD",513711,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
53,"Que Mas Pues - Remix",Sech,504323,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
54,"Me Vas a Extrañar - En Vivo","Damas Gratis",485804,https://open.spotify.com/track/3CACzG9I3AoKUKA3ODE5zW
55,"Con Calma","Daddy Yankee",480708,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
56,"La Boca - Remix","Mau y Ricky",474707,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
57,"Si Se Da - Remix","Myke Towers",467166,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
58,Desconocidos,"Mau y Ricky",454359,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
59,"Que Calor (with J Balvin & El Alfa)","Major Lazer",443841,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
60,"Adan y Eva","Paulo Londra",434282,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
61,"No Te Creas Tan Importante - En Vivo","Damas Gratis",427179,https://open.spotify.com/track/3trowLiYwwOoiwapLISNyk
62,FRESCO,WOS,410948,https://open.spotify.com/track/0blWPYAfbvpRLVHUcmqmmj
63,"El efecto - Remix","DJ Alex",395038,https://open.spotify.com/track/4LRYdLim72NkkWlBBgKOZG
64,"QUE PRETENDES","J Balvin",391975,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
65,"Te Robaré","Nicky Jam",384983,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
66,Olvídala,"Los Palmeras",383485,https://open.spotify.com/track/0cXGtTRfQKSHojilCoBAOd
67,"Fantasias - Unplugged","Rauw Alejandro",379869,https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun
68,High,"Maria Becerra",379103,https://open.spotify.com/track/5vPtzdjJ9tm7XCoKDH22Gb
69,ROXANNE,"Arizona Zervas",369925,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
